# ps_pos exposure_time(s) O-Beam H-Beam Monitor AUX-Beam time(s) O+H encod1 encod2
-1.988525 30.0 1140 15236 195610 2665 3782487700 16376 0.000000 0.000000
-1.801758 30.0 741 16933 195228 1631 3782487736 17674 0.000000 0.000000
-1.614990 30.0 768 17148 195816 1344 3782487772 17916 0.000000 0.000000
-1.395264 30.0 1036 15838 196231 2302 3782487808 16874 0.000000 0.000000
-1.197510 30.0 1636 13097 195701 4025 3782487845 14733 0.000000 0.000000
-0.999756 30.0 2099 10509 195836 5563 3782487881 12608 0.000000 0.000000
-0.812988 30.0 2481 8645 195291 6898 3782487917 11126 0.000000 0.000000
-0.604248 30.0 2729 7469 195758 7654 3782487953 10198 0.000000 0.000000
-0.395508 30.0 2389 9031 195229 6728 3782487990 11420 0.000000 0.000000
-0.208740 30.0 1909 11311 194890 5200 3782488026 13220 0.000000 0.000000
0.000000 30.0 1268 14521 195740 3217 3782488062 15789 0.000000 0.000000
0.186768 30.0 765 16743 195652 1762 3782488098 17508 0.000000 0.000000
0.395508 30.0 575 17752 195174 1006 3782488135 18327 0.000000 0.000000
0.615234 30.0 865 16197 195772 1964 3782488171 17062 0.000000 0.000000
0.802002 30.0 1433 13685 195370 3481 3782488207 15118 0.000000 0.000000
0.988769 30.0 2016 10950 194988 5348 3782488243 12966 0.000000 0.000000
1.186523 30.0 2541 8783 194878 6877 3782488279 11324 0.000000 0.000000
1.395264 30.0 2671 7383 195904 7544 3782488316 10054 0.000000 0.000000
1.604004 30.0 2571 8372 195026 6962 3782488352 10943 0.000000 0.000000
1.801758 30.0 2012 10829 195418 5470 3782488388 12841 0.000000 0.000000
1.988525 30.0 1496 13533 194980 3778 3782488425 15029 0.000000 0.000000
