*Begin rocking: 03/04/2024 20:53:08
*Points: 0
*
*notes: 
*Rho-Axis: 6.660
N	encoder[°]	time[s]	O-Detector	H-Detector	Monitor	Aux
         0	0.9325100	3	18	72	1	4	90
         1	0.9325500	3	23	102	0	0	125
         2	0.9326000	3	36	135	1	6	171
         3	0.9326600	3	91	180	1	5	271
         4	0.9327000	3	84	340	0	2	424
         5	0.9327500	3	136	432	0	0	568
         6	0.9328100	3	132	706	0	5	838
         7	0.9328500	3	206	845	0	2	1051
         8	0.9329000	3	229	925	0	3	1154
         9	0.9329600	3	232	917	1	2	1149
        10	0.9330000	3	231	799	1	2	1030
        11	0.9330500	3	194	654	0	4	848
        12	0.9331000	3	187	447	0	3	634
        13	0.9331600	3	143	262	0	2	405
        14	0.9332000	3	141	165	0	5	306
        15	0.9332400	3	82	114	0	2	196
        16	0.9333000	3	62	68	0	2	130
        17	0.9333600	3	19	59	1	1	78
*stopped by user: 03/04/2024 20:54:31
