*Begin rocking: 28/03/2024 18:16:24
*Points: 0
*
*notes: 
*Rho-Axis: 6.660
N	encoder[°]	time[s]	O-Detector	H-Detector	Monitor	Aux
         0	0.9314900	2	419	590	1	1	1009
         1	0.9315600	2	338	605	2	0	943
         2	0.9316000	2	274	467	1	0	741
         3	0.9316500	2	268	330	3	1	598
         4	0.9317100	2	203	233	5	1	436
         5	0.9317400	2	168	185	4	0	353
         6	0.9317900	2	117	227	1	0	344
         7	0.9318600	2	80	211	3	1	291
         8	0.9319000	2	59	166	4	0	225
         9	0.9319600	2	20	156	1	0	176
        10	0.9320000	2	13	148	1	0	161
        11	0.9320400	2	13	129	4	0	142
        12	0.9321100	2	7	129	2	0	136
        13	0.9321600	2	13	147	3	0	160
        14	0.9322000	2	29	158	0	0	187
        15	0.9322500	2	31	154	0	0	185
        16	0.9322900	2	28	162	0	0	190
        17	0.9323500	2	15	131	3	0	146
        18	0.9324100	2	16	166	5	1	182
        19	0.9324500	2	16	208	2	0	224
        20	0.9325000	2	28	206	2	0	234
        21	0.9325600	2	43	255	5	0	298
        22	0.9326100	2	74	327	0	0	401
        23	0.9326600	2	148	328	3	2	476
        24	0.9327100	2	144	465	3	0	609
        25	0.9327500	2	216	618	1	0	834
        26	0.9328000	2	302	677	0	0	979
        27	0.9328500	2	277	767	2	0	1044
        28	0.9329000	2	405	679	0	0	1084
        29	0.9329700	2	361	632	4	1	993
        30	0.9330000	2	372	515	2	0	887
        31	0.9330500	2	354	329	2	0	683
        32	0.9331000	2	284	278	3	0	562
        33	0.9331600	2	216	205	3	0	421
        34	0.9332000	2	132	178	1	1	310
        35	0.9332400	2	91	144	5	0	235
        36	0.9333000	2	49	156	4	0	205
        37	0.9333500	2	36	111	3	0	147
        38	0.9334000	2	20	117	5	0	137
        39	0.9334500	2	11	98	2	0	109
*stopped by user: 28/03/2024 18:18:56
