*Begin rocking: 05/04/2024 23:51:05
*Points: 0
*
*notes: 
*Rho-Axis: 6.660
N	encoder[°]	time[s]	O-Detector	H-Detector	Monitor	Aux
         0	0.9325100	3	40	381	0	5	421
         1	0.9325600	3	81	423	1	3	504
         2	0.9326000	3	123	473	0	3	596
         3	0.9326600	3	230	527	0	1	757
         4	0.9327000	3	334	591	0	1	925
         5	0.9327500	3	427	620	0	5	1047
         6	0.9328000	3	511	616	0	3	1127
         7	0.9328500	3	550	584	2	3	1134
         8	0.9329100	3	599	585	0	6	1184
         9	0.9329600	3	517	572	1	3	1089
        10	0.9330000	3	459	555	2	2	1014
        11	0.9330600	3	422	485	0	3	907
        12	0.9331000	3	319	338	1	5	657
        13	0.9331400	3	198	351	1	3	549
        14	0.9332100	3	106	310	0	1	416
        15	0.9332600	3	66	283	0	2	349
        16	0.9333000	3	38	223	0	5	261
        17	0.9333600	3	22	222	0	4	244
        18	0.9334100	3	13	200	1	3	213
        19	0.9334500	3	15	162	0	4	177
        20	0.9335100	3	4	131	0	3	135
        21	0.9335500	3	4	136	2	7	140
*stopped by user: 05/04/2024 23:52:47
