*Begin rocking: 29/03/2024 14:57:15
*Points: 0
*
*notes: 
*Rho-Axis: 6.660
N	encoder[°]	time[s]	O-Detector	H-Detector	Monitor	Aux
         0	0.9315200	2	56	840	1	106	896
         1	0.9315600	2	29	803	1	63	832
         2	0.9316100	2	40	653	0	67	693
         3	0.9316500	2	32	517	0	66	549
         4	0.9317000	2	18	362	0	47	380
         5	0.9317500	2	8	334	0	30	342
         6	0.9318000	2	20	282	0	24	302
         7	0.9318400	2	28	226	0	30	254
         8	0.9319000	2	15	241	0	23	256
         9	0.9319600	2	10	180	0	8	190
        10	0.9320100	2	8	137	0	9	145
        11	0.9320600	2	2	127	0	4	129
        12	0.9321100	2	5	124	0	8	129
        13	0.9321600	2	5	133	0	11	138
        14	0.9322100	2	10	159	1	17	169
        15	0.9322600	2	16	173	1	17	189
        16	0.9323100	2	10	143	0	8	153
        17	0.9323600	2	6	146	0	12	152
        18	0.9324000	2	10	129	0	14	139
        19	0.9324500	2	16	160	0	20	176
        20	0.9325000	2	21	193	0	30	214
        21	0.9325500	2	37	198	3	35	235
        22	0.9326100	2	38	277	0	61	315
        23	0.9326600	2	61	324	0	114	385
        24	0.9327000	2	60	405	0	104	465
        25	0.9327500	2	69	606	0	93	675
        26	0.9328100	2	103	643	0	185	746
        27	0.9328400	2	65	806	1	127	871
        28	0.9329200	2	92	783	0	133	875
        29	0.9329600	2	47	830	0	119	877
        30	0.9330000	2	30	805	0	46	835
        31	0.9330700	2	32	569	1	56	601
        32	0.9331100	2	39	502	1	50	541
        33	0.9331400	2	20	363	0	36	383
        34	0.9332000	2	26	257	1	39	283
        35	0.9332500	2	16	223	0	19	239
        36	0.9333100	2	16	151	0	23	167
        37	0.9333500	2	9	153	0	11	162
        38	0.9334200	2	6	138	0	12	144
*stopped by user: 29/03/2024 14:59:42
