# ps_pos exposure_time(s) O-Beam H-Beam Monitor AUX-Beam time(s) O+H encod1 encod2
-1.988525 30.0 1729 7923 189757 4357 3782994951 9652 0.000000 0.000000
-1.801758 30.0 1298 10087 189791 3101 3782994987 11385 0.000000 0.000000
-1.604004 30.0 896 11565 190173 2151 3782995023 12461 0.000000 0.000000
-1.395264 30.0 538 13200 189343 1143 3782995059 13738 0.000000 0.000000
-1.197510 30.0 485 13295 189151 1016 3782995096 13780 0.000000 0.000000
-0.999756 30.0 638 12614 189315 1740 3782995132 13252 0.000000 0.000000
-0.802002 30.0 1086 10539 189959 2895 3782995168 11625 0.000000 0.000000
-0.615234 30.0 1628 8415 189740 4099 3782995205 10043 0.000000 0.000000
-0.406494 30.0 2010 6869 189466 5263 3782995241 8879 0.000000 0.000000
-0.197754 30.0 2153 6329 190081 5556 3782995277 8482 0.000000 0.000000
0.000000 30.0 1955 7052 190319 4747 3782995314 9007 0.000000 0.000000
0.186768 30.0 1502 9240 189784 3738 3782995350 10742 0.000000 0.000000
0.395508 30.0 943 11412 189849 2203 3782995386 12355 0.000000 0.000000
0.604248 30.0 522 13168 189308 1073 3782995422 13690 0.000000 0.000000
0.791016 30.0 458 13567 190336 1011 3782995459 14025 0.000000 0.000000
0.988769 30.0 547 13114 189601 1381 3782995495 13661 0.000000 0.000000
1.186523 30.0 899 11619 190203 2465 3782995531 12518 0.000000 0.000000
1.384277 30.0 1363 8918 189378 3770 3782995568 10281 0.000000 0.000000
1.604004 30.0 1945 7013 190228 5093 3782995604 8958 0.000000 0.000000
1.801758 30.0 1945 6950 190360 5252 3782995640 8895 0.000000 0.000000
1.988525 30.0 1942 6970 189953 5144 3782995676 8912 0.000000 0.000000
