*Begin rocking: 30/09/2023 09:38:50
*Points: 0
*
*notes: 
*Rho-Axis: 6.300
N	encoder[°]	time[s]	O-Detector	H-Detector	Monitor	Aux
         0	1.7110100	2	0	193	13574	69	193
         1	1.7110500	2	0	231	13577	70	231
         2	1.7111000	2	0	264	13480	60	264
         3	1.7111400	2	0	331	13995	53	331
         4	1.7112000	2	1	382	13769	70	383
         5	1.7112500	2	0	439	13598	47	439
         6	1.7113000	2	0	572	13772	69	572
         7	1.7113600	2	0	705	13759	65	705
         8	1.7114100	2	1	1047	13600	75	1048
         9	1.7114400	2	0	1377	13979	65	1377
        10	1.7115000	2	0	3148	13663	63	3148
        11	1.7115500	2	0	5400	13710	62	5400
        12	1.7116000	2	0	7892	13897	60	7892
        13	1.7116500	2	0	11222	13699	62	11222
        14	1.7117100	2	1	13994	13815	78	13995
        15	1.7117500	2	0	16164	13455	82	16164
        16	1.7118100	2	0	19425	13621	82	19425
        17	1.7118600	2	0	19812	13663	66	19812
        18	1.7119100	2	0	17676	13799	61	17676
        19	1.7119500	2	0	15304	13845	65	15304
        20	1.7120100	2	0	11758	13853	70	11758
        21	1.7120600	2	1	9727	13638	78	9728
        22	1.7121000	2	0	6626	13480	63	6626
        23	1.7121500	2	1	4315	13559	89	4316
        24	1.7122100	2	0	2460	13439	54	2460
        25	1.7122500	2	1	1311	13673	55	1312
        26	1.7123000	2	0	917	13711	59	917
        27	1.7123600	2	0	632	13695	70	632
        28	1.7124000	2	0	520	13690	62	520
        29	1.7124500	2	2	444	13476	70	446
*stopped by user: 30/09/2023 09:40:42
