*Begin rocking: 30/09/2023 10:09:57
*Points: 0
*
*notes: 
*Rho-Axis: 6.100
N	encoder[°]	time[s]	O-Detector	H-Detector	Monitor	Aux
         0	1.3275200	2	0	925	13591	54	925
         1	1.3277100	2	0	1017	13789	67	1017
         2	1.3279100	2	1	1094	13759	77	1095
         3	1.3281100	2	0	1244	13562	61	1244
         4	1.3283100	2	1	1410	13598	72	1411
         5	1.3285000	2	1	1679	13687	58	1680
         6	1.3287100	2	1	1908	13871	48	1909
         7	1.3289000	2	0	2412	13757	64	2412
         8	1.3291100	2	0	2914	13933	62	2914
         9	1.3293100	2	0	3713	13464	49	3713
        10	1.3295100	2	0	4853	13461	71	4853
        11	1.3297100	2	1	6392	13396	59	6393
        12	1.3299000	2	1	8630	13538	63	8631
        13	1.3301100	2	0	11102	13603	69	11102
        14	1.3303000	2	1	13298	13373	68	13299
        15	1.3305100	2	0	14500	13819	63	14500
        16	1.3307000	2	2	14679	13690	64	14681
        17	1.3309000	2	0	13358	13666	69	13358
        18	1.3311200	2	0	11062	13629	54	11062
        19	1.3313300	2	0	8668	13834	58	8668
        20	1.3315100	2	0	6663	13533	63	6663
        21	1.3317300	2	1	4804	13786	56	4805
        22	1.3319000	2	0	3886	13787	54	3886
        23	1.3321200	2	0	3120	13846	59	3120
        24	1.3322900	2	0	2614	13774	70	2614
        25	1.3325000	2	1	2237	14004	64	2238
*stopped by user: 30/09/2023 10:11:44
