# chi w+ err
-9.5532227 9.6513287 0.1302538
-8.9004704 -22.4613444 0.1976925
-8.2912345 -20.8975893 0.0778532
-7.6819904 -15.7444591 0.0731488
-7.0767082 -7.6772871 0.0637852
-6.4674723 -3.6161196 0.0398325
-5.8582363 1.3214497 0.0404197
-5.2489922 3.9484247 0.0350501
-4.6476720 11.3909736 0.0698839
-4.0384279 27.2113720 0.0876191
-3.4291920 50.9235018 0.3037172
-2.8199560 -39.3685829 0.2561201
-2.2146739 -27.5803452 0.1044177
-1.6054298 -16.7001593 0.0757933
-0.9961938 -10.0164355 0.0405897
-0.3909117 -5.3954773 0.0351352
0.2183243 -0.7993012 0.0363539
0.8236064 3.8441551 0.0392051
1.4328505 11.9679995 0.0449452
2.0381327 20.7018914 0.0781697
2.6473686 54.9736999 0.2492755
3.2566046 -1.0064225 0.2017849
3.8618868 -44.0232612 0.2189805
4.4711308 -20.8784127 0.0969113
5.0764130 -13.2047171 0.0709264
5.6896028 -8.4188817 0.0344879
6.2948849 -3.3318961 0.0448024
6.9001671 2.3180275 0.0394815
7.5054492 9.6817423 0.0659152
8.1146933 15.0668713 0.0746069
8.7278831 31.5795064 0.1207501
9.3292114 6.5397483 0.2133516
