# chi w+ err
-9.6146287 -8.5214726 9.4303265
-8.9612249 -31.9318497 5.9474356
-8.3513807 8.8182187 4.1692513
-7.7415285 5.7999555 2.9992659
-7.1356421 6.7528856 3.1858092
-6.5257980 6.6348313 2.1456574
-5.9159538 6.9684027 1.9654692
-5.3061016 8.5546482 2.6305644
-4.7041811 5.1587199 3.2247957
-4.0943288 -8.4357421 5.2435388
-3.4844847 -55.0094916 15.9780373
-2.8746406 -77.7572407 19.5214441
-2.2687542 4.4353175 8.4886085
-1.6589019 10.7762238 3.9239066
-1.0490578 6.9949295 1.8319252
-0.4431714 7.9432600 1.9290487
0.1666727 5.5734741 2.5726521
0.7725591 2.5667953 2.0427389
1.3824113 -1.9669486 2.9079901
1.9882977 -0.1771499 4.3511580
2.5981418 -46.9488406 14.1240067
3.2079860 -144.8851101 20.2718364
3.8138724 -5.4177508 9.2625184
4.4237246 4.6669254 5.2621577
5.0296110 3.7106395 2.9671823
5.6434129 1.4299396 2.9002489
6.2492993 7.9741905 2.7425148
6.8551856 7.9518745 2.2995954
7.4610720 18.4344678 3.5304106
8.0709243 6.3579203 2.9836558
8.6847262 9.0157370 7.8003598
9.2866548 -59.6374483 19.5167530
