# chi(pi) scaled_values error
-7.529293179809481984e+00 3.372998625482607760e-01 5.273040572294850938e-03
-7.324400882181881123e+00 1.879426233265625856e-01 3.107755181220517998e-03
-7.134320136860510253e+00 1.491441898986737846e-01 2.522601703062119990e-03
-6.944239391539139383e+00 2.071357142193963052e-01 3.406451242860449209e-03
-6.754158646217804929e+00 3.473099874878794457e-01 5.413324890711127858e-03
-6.566546324425654113e+00 5.367416587772402270e-01 7.785107614517896082e-03
-6.375231240948336264e+00 7.018581076104536409e-01 9.665618615490739057e-03
-6.186384833782948789e+00 8.160880298640907915e-01 1.088775356297227992e-02
-5.996304088461614334e+00 8.231614378995917303e-01 1.094175983065033900e-02
-5.807457681296262386e+00 7.256441762102457949e-01 9.958918487589516269e-03
-5.617376683192109255e+00 5.673157970178870357e-01 8.150656500443416788e-03
-5.427295937870810327e+00 3.873689865514091113e-01 5.935344807531337322e-03
-5.237215192549440346e+00 2.328999950386255735e-01 3.816298808076372395e-03
-5.049603123540035376e+00 1.588507948207160403e-01 2.678065450180892437e-03
-4.859522378218700922e+00 2.269587372992130092e-01 3.709606244534239487e-03
-4.669441380114583318e+00 3.700495161467585170e-01 5.704654305900537514e-03
-4.480594972949232258e+00 5.672844311344531487e-01 8.179353101934435169e-03
-4.290514227627861388e+00 7.396380717242956315e-01 1.006686728376854183e-02
-4.100433482306526933e+00 8.371197349745405081e-01 1.109465618452960128e-02
-3.912821160514375674e+00 8.414384040945217524e-01 1.116760624595442009e-02
-3.721506077037021853e+00 7.287709487039065737e-01 1.000894651843068500e-02
-3.532659669871706321e+00 5.464458411925363635e-01 7.945022820185786844e-03
-3.341344586394352945e+00 3.135320273469811569e-01 4.956584864514390620e-03
-3.152498179228965025e+00 1.561669837815130857e-01 2.629673152614434017e-03
-2.963651772063613521e+00 1.144612549906628141e-01 1.965580965253863575e-03
-2.774805112115479311e+00 2.080370555460342441e-01 3.418314100571264412e-03
-2.583490028638161906e+00 4.040963777204538698e-01 6.139140568451605627e-03
-2.394643621472773987e+00 6.329357616822430810e-01 8.897705502572694075e-03
-2.204562876151439532e+00 8.223678539157206480e-01 1.092488346127704589e-02
-2.016950554359288272e+00 8.958438988709406248e-01 1.168910770326119647e-02
-1.825635470881934674e+00 8.314576047037035567e-01 1.101351765694334565e-02
-1.635554725560636413e+00 6.557981513924698858e-01 9.204237577632961090e-03
-1.446708318395248494e+00 4.269097461862476073e-01 6.426957442263979414e-03
-1.256627573073877846e+00 2.197354122540803312e-01 3.612722831105456660e-03
-1.067781165908526342e+00 9.927047230535114564e-02 1.719530335785407872e-03
-8.777001678044091815e-01 1.102068851804176158e-01 1.899127617382084712e-03
-6.876194224830746160e-01 2.599683257599496033e-01 4.196521983256968832e-03
-4.987730153176869186e-01 4.929072591193155439e-01 7.312115811321083340e-03
-3.099266081522991656e-01 7.156954124062142597e-01 9.820768475721157464e-03
-1.198458628310008212e-01 8.723871242194297659e-01 1.147619476851846620e-02
7.023513527315253246e-02 8.901284074109876432e-01 1.165178555062942184e-02
2.603158805944508769e-01 7.779907519008553152e-01 1.053654719335628785e-02
4.491622877598386299e-01 5.825395341131005544e-01 8.385040812510669711e-03
6.392430330812093331e-01 3.511634892640991268e-01 5.481344692035642306e-03
8.280894402465608373e-01 1.706441481040831543e-01 2.864072192349600716e-03
1.016936100194695047e+00 1.132194532387903324e-01 1.951805868812156149e-03
1.207016845516029502e+00 1.916359368829954057e-01 3.190406054365247778e-03
1.398331928993383322e+00 3.742089350199786502e-01 5.770748654474703622e-03
1.585943998002788069e+00 6.198227251820815908e-01 8.815015499765469290e-03
1.776024743324086330e+00 8.039896161963050458e-01 1.082934053259514487e-02
1.964871403272256734e+00 8.832925867254231012e-01 1.159636609826339253e-02
2.157420572122811020e+00 8.188631970558978290e-01 1.098003571990475123e-02
2.345032893914925864e+00 6.761308873535964992e-01 9.449468480393845293e-03
2.533879301080313340e+00 4.537366049572629234e-01 6.812352910371826352e-03
2.723960046401648238e+00 2.437361840074936392e-01 3.967740345467314460e-03
2.914041044505765399e+00 1.393044560050167302e-01 2.372254517009603821e-03
3.104121789827099853e+00 1.325010413115996488e-01 2.259422624466137734e-03
3.291733858836504378e+00 2.452722284154221499e-01 3.998834249592907696e-03
3.483048942313858198e+00 4.524193372457159246e-01 6.836081780819045634e-03
3.671895349479173731e+00 6.774538621849069964e-01 9.470501371732113066e-03
3.861976347583326863e+00 8.439457671846465336e-01 1.126380327126876545e-02
4.052057092904661317e+00 8.656853196050342536e-01 1.151706016648156201e-02
4.240903500070013266e+00 7.845861868824254293e-01 1.064798171684555421e-02
4.430984245391384135e+00 6.008297376335693940e-01 8.594701092270118359e-03
4.619830652556735195e+00 3.798889256496429390e-01 5.855143022623384222e-03
4.808677312504869406e+00 1.846706516611241189e-01 3.081338945070202957e-03
4.999992395982187254e+00 1.038099279687819537e-01 1.798401598742785205e-03
