# chi w+ err
-0.0556882 26.7583750 3.8569759
0.5814613 33.6231642 1.9569493
1.1725470 33.2011521 3.7127423
1.7636406 31.8436220 3.1422353
2.3508903 57.4085895 6.9184885
2.9419760 59.4601883 5.0098239
3.5330617 52.0537664 6.3629675
4.1241553 34.0253986 5.9022118
4.7075611 22.5636055 2.6630450
5.2986547 26.7680367 2.5562531
5.8897404 23.8592640 2.8248235
6.4808261 24.9386680 3.3750624
7.0680758 32.1970275 3.4040594
7.6591694 34.3752464 3.7923760
8.2502551 45.1623327 4.9658384
8.8375048 57.8108975 7.1876615
9.4285905 71.9238984 8.2987404
10.0158402 43.1215229 7.3877544
10.6069338 43.7109398 5.2930961
11.1941835 39.4107554 3.2639751
11.7852692 31.1647868 2.4117586
12.3763550 27.4099608 2.7406644
12.9636046 32.7933026 2.2457204
13.5546982 35.6499976 2.3907699
14.1419479 41.4562539 4.0370789
14.7368697 53.2508438 4.5582440
15.3202833 72.3670771 8.4000094
15.9113691 66.0866688 8.9025188
16.4986188 41.0746147 5.8365621
17.0897123 30.8269688 4.9709708
17.6846341 28.0185768 2.2493212
18.2680478 36.3491272 3.0370639
