# chi w+ err
-0.2449061 0.5473774 1.2756583
0.3961357 -2.7711337 0.9706632
0.9908323 -8.1407370 1.1510153
1.5855369 -12.0337823 1.8026020
2.1763741 -14.7742444 1.7277629
2.7710708 -13.0009883 7.2251889
3.3657675 21.9147457 7.3972878
3.9604720 28.3278662 2.7559794
4.5474419 18.9897402 1.7708197
5.1421464 12.0361203 0.8618649
5.7368431 5.3397398 1.3129196
6.3315398 -2.8874601 1.2546172
6.9223770 -4.9786498 1.0462606
7.5170816 -12.4224886 1.7670411
8.1117782 -18.6751071 3.2410305
8.7026154 -31.2633835 4.6140232
9.2973121 8.0176019 5.5708644
9.8881493 37.7190537 5.0844932
10.4828539 22.7839556 2.1734994
11.0736911 15.5668152 1.4793606
11.6683878 8.8397113 1.3247985
12.2630844 0.9104521 2.8035865
12.8539216 -0.6643135 2.4185139
13.4486262 -7.2921089 2.0654577
14.0394634 -12.6824056 1.3929412
14.6380195 -14.0837743 2.6527915
15.2249973 -27.6383292 4.8248148
15.8196940 25.4783274 6.9922508
16.4105312 25.0054802 2.8813893
17.0052357 15.1328461 1.6287028
17.6037919 8.6346379 2.0941635
18.1907696 5.1589462 1.9575172
