# BinNR microsec O-Beam AUX chi(deg)
0.000 3600.000 13 51 -80.000
1.000 3600.000 27 78 -80.000
2.000 3600.000 31 87 -80.000
3.000 3600.000 26 75 -80.000
4.000 3600.000 24 69 -80.000
5.000 3600.000 21 82 -80.000
6.000 3600.000 28 73 -80.000
7.000 3600.000 39 62 -80.000
8.000 3600.000 35 74 -80.000
9.000 3600.000 28 89 -80.000
10.000 3600.000 36 61 -80.000
11.000 3600.000 35 69 -80.000
12.000 3600.000 32 94 -80.000
13.000 3600.000 23 99 -80.000
14.000 3600.000 34 104 -80.000
15.000 3600.000 30 108 -80.000
16.000 3600.000 40 96 -80.000
17.000 3600.000 26 93 -80.000
18.000 3600.000 33 91 -80.000
19.000 3600.000 35 80 -80.000
20.000 3600.000 37 92 -80.000
21.000 3600.000 42 81 -80.000
22.000 3600.000 33 65 -80.000
23.000 3600.000 36 60 -80.000
24.000 3600.000 35 63 -80.000
25.000 3600.000 20 75 -80.000
26.000 3600.000 24 76 -80.000
27.000 3600.000 25 79 -80.000
28.000 3600.000 19 91 -80.000
29.000 3600.000 31 73 -80.000
30.000 3600.000 16 109 -80.000
31.000 3600.000 35 104 -80.000
32.000 3600.000 22 125 -80.000
33.000 3600.000 25 98 -80.000
34.000 3600.000 19 91 -80.000
35.000 3600.000 29 92 -80.000
36.000 3600.000 32 89 -80.000
37.000 3600.000 33 81 -80.000
38.000 3600.000 29 78 -80.000
39.000 3600.000 25 80 -80.000
40.000 3600.000 39 63 -80.000
41.000 3600.000 35 66 -80.000
42.000 3600.000 25 55 -80.000
43.000 3600.000 30 70 -80.000
44.000 3600.000 32 70 -80.000
45.000 3600.000 24 73 -80.000
46.000 3600.000 35 91 -80.000
47.000 3600.000 31 108 -80.000
48.000 3600.000 24 87 -80.000
49.000 3600.000 25 107 -80.000
50.000 3600.000 30 119 -80.000
51.000 3600.000 30 108 -80.000
52.000 3600.000 23 91 -80.000
53.000 3600.000 29 90 -80.000
54.000 3600.000 23 92 -80.000
55.000 3600.000 24 75 -80.000
56.000 3600.000 29 65 -80.000
57.000 3600.000 28 65 -80.000
58.000 3600.000 40 52 -80.000
59.000 3600.000 28 68 -80.000
60.000 3600.000 35 68 -80.000
61.000 3600.000 28 63 -80.000
62.000 3600.000 29 71 -80.000
63.000 3600.000 23 93 -80.000
64.000 3600.000 36 103 -80.000
65.000 3600.000 29 131 -80.000
66.000 3600.000 22 113 -80.000
67.000 3600.000 26 106 -80.000
68.000 3600.000 28 93 -80.000
69.000 3600.000 30 99 -80.000
70.000 3600.000 29 82 -80.000
71.000 3600.000 37 74 -80.000
72.000 3600.000 35 69 -80.000
73.000 3600.000 33 76 -80.000
74.000 3600.000 40 67 -80.000
75.000 3600.000 28 66 -80.000
76.000 3600.000 29 66 -80.000
77.000 3600.000 41 65 -80.000
78.000 3600.000 35 60 -80.000
79.000 3600.000 26 73 -80.000
80.000 3600.000 43 82 -80.000
81.000 3600.000 27 107 -80.000
82.000 3600.000 23 108 -80.000
83.000 3600.000 35 111 -80.000
84.000 3600.000 41 111 -80.000
85.000 3600.000 35 108 -80.000
86.000 3600.000 24 87 -80.000
87.000 3600.000 26 93 -80.000
88.000 3600.000 31 76 -80.000
89.000 3600.000 39 72 -80.000
90.000 3600.000 26 70 -80.000
91.000 3600.000 30 63 -80.000
92.000 3600.000 35 84 -80.000
93.000 3600.000 27 65 -80.000
94.000 3600.000 29 68 -80.000
95.000 3600.000 24 63 -80.000
96.000 3600.000 31 109 -80.000
97.000 3600.000 37 90 -80.000
98.000 3600.000 29 104 -80.000
99.000 3600.000 23 89 -80.000
100.000 3600.000 31 84 -80.000
101.000 3600.000 24 99 -80.000
102.000 3600.000 29 101 -80.000
103.000 3600.000 23 86 -80.000
104.000 3600.000 18 96 -80.000
105.000 3600.000 40 72 -80.000
106.000 3600.000 32 80 -80.000
107.000 3600.000 28 84 -80.000
108.000 3600.000 28 67 -80.000
109.000 3600.000 30 80 -80.000
110.000 3600.000 35 85 -80.000
111.000 3600.000 26 73 -80.000
112.000 3600.000 26 91 -80.000
113.000 3600.000 31 76 -80.000
114.000 3600.000 33 91 -80.000
115.000 3600.000 31 76 -80.000
116.000 3600.000 31 85 -80.000
117.000 3600.000 20 83 -80.000
118.000 3600.000 35 83 -80.000
119.000 3600.000 21 77 -80.000
120.000 3600.000 25 78 -80.000
121.000 3600.000 38 98 -80.000
122.000 3600.000 26 84 -80.000
123.000 3600.000 30 77 -80.000
124.000 3600.000 26 69 -80.000
125.000 3600.000 15 90 -80.000
126.000 3600.000 29 94 -80.000
127.000 3600.000 31 88 -80.000
128.000 3600.000 26 90 -80.000
129.000 3600.000 27 91 -80.000
130.000 3600.000 35 93 -80.000
131.000 3600.000 29 61 -80.000
132.000 3600.000 24 88 -80.000
133.000 3600.000 26 68 -80.000
134.000 3600.000 23 65 -80.000
135.000 3600.000 31 69 -80.000
136.000 3600.000 26 64 -80.000
137.000 3600.000 18 76 -80.000
138.000 3600.000 21 71 -80.000
139.000 3600.000 26 82 -80.000
140.000 3600.000 30 111 -80.000
141.000 3600.000 26 100 -80.000
142.000 3600.000 41 99 -80.000
143.000 3600.000 33 102 -80.000
144.000 3600.000 40 111 -80.000
145.000 3600.000 30 101 -80.000
146.000 3600.000 36 87 -80.000
147.000 3600.000 31 87 -80.000
148.000 3600.000 45 90 -80.000
149.000 3600.000 25 70 -80.000
150.000 3600.000 24 70 -80.000
151.000 3600.000 24 64 -80.000
152.000 3600.000 30 57 -80.000
153.000 3600.000 33 72 -80.000
154.000 3600.000 29 80 -80.000
155.000 3600.000 28 78 -80.000
156.000 3600.000 26 94 -80.000
157.000 3600.000 25 103 -80.000
158.000 3600.000 30 101 -80.000
159.000 3600.000 27 112 -80.000
160.000 3600.000 36 105 -80.000
161.000 3600.000 34 107 -80.000
162.000 3600.000 35 92 -80.000
163.000 3600.000 33 77 -80.000
164.000 3600.000 37 88 -80.000
165.000 3600.000 37 73 -80.000
166.000 3600.000 31 72 -80.000
167.000 3600.000 35 56 -80.000
168.000 3600.000 20 78 -80.000
169.000 3600.000 28 59 -80.000
170.000 3600.000 25 74 -80.000
171.000 3600.000 33 80 -80.000
172.000 3600.000 25 78 -80.000
173.000 3600.000 31 78 -80.000
174.000 3600.000 37 98 -80.000
175.000 3600.000 35 101 -80.000
176.000 3600.000 19 124 -80.000
177.000 3600.000 30 102 -80.000
178.000 3600.000 21 97 -80.000
179.000 3600.000 45 84 -80.000
180.000 3600.000 40 112 -80.000
181.000 3600.000 36 93 -80.000
182.000 3600.000 30 73 -80.000
183.000 3600.000 25 66 -80.000
184.000 3600.000 43 65 -80.000
185.000 3600.000 36 47 -80.000
186.000 3600.000 24 58 -80.000
187.000 3600.000 16 60 -80.000
188.000 3600.000 27 85 -80.000
189.000 3600.000 34 84 -80.000
190.000 3600.000 33 120 -80.000
191.000 3600.000 26 105 -80.000
192.000 3600.000 41 115 -80.000
193.000 3600.000 29 113 -80.000
194.000 3600.000 33 110 -80.000
195.000 3600.000 31 109 -80.000
196.000 3600.000 29 119 -80.000
197.000 3600.000 30 108 -80.000
198.000 3600.000 31 81 -80.000
199.000 3600.000 30 73 -80.000
200.000 3600.000 28 75 -80.000
201.000 3600.000 26 70 -80.000
202.000 3600.000 29 64 -80.000
203.000 3600.000 28 64 -80.000
204.000 3600.000 27 58 -80.000
205.000 3600.000 23 87 -80.000
206.000 3600.000 43 69 -80.000
207.000 3600.000 36 96 -80.000
208.000 3600.000 27 91 -80.000
209.000 3600.000 28 89 -80.000
210.000 3600.000 17 109 -80.000
211.000 3600.000 22 114 -80.000
212.000 3600.000 26 101 -80.000
213.000 3600.000 26 79 -80.000
214.000 3600.000 34 82 -80.000
215.000 3600.000 42 92 -80.000
216.000 3600.000 38 69 -80.000
217.000 3600.000 29 74 -80.000
218.000 3600.000 37 69 -80.000
219.000 3600.000 27 68 -80.000
220.000 3600.000 23 67 -80.000
221.000 3600.000 34 68 -80.000
222.000 3600.000 33 89 -80.000
223.000 3600.000 25 90 -80.000
224.000 3600.000 37 84 -80.000
225.000 3600.000 24 84 -80.000
226.000 3600.000 26 105 -80.000
227.000 3600.000 33 109 -80.000
228.000 3600.000 32 90 -80.000
229.000 3600.000 23 89 -80.000
230.000 3600.000 29 101 -80.000
231.000 3600.000 30 93 -80.000
232.000 3600.000 24 85 -80.000
233.000 3600.000 25 66 -80.000
234.000 3600.000 24 81 -80.000
235.000 3600.000 43 75 -80.000
236.000 3600.000 28 74 -80.000
237.000 3600.000 36 61 -80.000
238.000 3600.000 24 90 -80.000
239.000 3600.000 30 74 -80.000
240.000 3600.000 27 81 -80.000
241.000 3600.000 29 69 -80.000
242.000 3600.000 30 75 -80.000
243.000 3600.000 28 66 -80.000
244.000 3600.000 32 82 -80.000
245.000 3600.000 32 85 -80.000
246.000 3600.000 27 105 -80.000
247.000 3600.000 28 81 -80.000
248.000 3600.000 26 85 -80.000
249.000 3600.000 24 78 -80.000
250.000 3600.000 28 82 -80.000
251.000 3600.000 29 69 -80.000
252.000 3600.000 25 84 -80.000
253.000 3600.000 28 60 -80.000
254.000 3600.000 32 76 -80.000
255.000 3600.000 31 76 -80.000
256.000 3600.000 33 82 -80.000
257.000 3600.000 22 77 -80.000
258.000 3600.000 35 88 -80.000
259.000 3600.000 35 94 -80.000
260.000 3600.000 40 81 -80.000
261.000 3600.000 35 88 -80.000
262.000 3600.000 21 86 -80.000
263.000 3600.000 26 80 -80.000
264.000 3600.000 27 79 -80.000
265.000 3600.000 34 85 -80.000
266.000 3600.000 26 72 -80.000
267.000 3600.000 33 66 -80.000
268.000 3600.000 30 86 -80.000
269.000 3600.000 29 91 -80.000
270.000 3600.000 17 114 -80.000
271.000 3600.000 27 96 -80.000
