* begin:	28/09/2023 08:28:57
* script file:	D:\data\Cycle 192ter\exp_3-16-14\rawdata\sc\TOF_vs_chi_S2+A1_19pt_pi8_1500s.cfg
*
* no cfg file, sc file created manually
* 0	0.1495100	5.0	69164	67	32540	100001	3778728841	69231	0.0000000	0.0000000
* Date: 28/09/2023	Time: 08:54
* Pulsetime (탎):0.000003	Looptime (탎): 434.000000	BinWidth (탎): 3.000000	BinCount: 145	measured time (s): 1500.028000
* Bin NR >>  탎  >>  rec.time  >>  Counts O  >>  Counts AUX
* begin of data:
0	0.00	1500.03	236	400
1	3.00	1500.03	461	718
2	6.00	1500.03	513	820
3	9.00	1500.03	459	809
4	12.00	1500.03	464	795
5	15.00	1500.03	428	770
6	18.00	1500.03	501	728
7	21.00	1500.03	467	670
8	24.00	1500.03	493	619
9	27.00	1500.03	440	653
10	30.00	1500.03	460	576
11	33.00	1500.03	466	603
12	36.00	1500.03	487	587
13	39.00	1500.03	416	583
14	42.00	1500.03	499	652
15	45.00	1500.03	515	642
16	48.00	1500.03	503	721
17	51.00	1500.03	502	724
18	54.00	1500.03	538	753
19	57.00	1500.03	475	730
20	60.00	1500.03	485	736
21	63.00	1500.03	515	698
22	66.00	1500.03	494	680
23	69.00	1500.03	526	640
24	72.00	1500.03	514	567
25	75.00	1500.03	505	619
26	78.00	1500.03	535	715
27	81.00	1500.03	553	735
28	84.00	1500.03	510	788
29	87.00	1500.03	510	796
30	90.00	1500.03	529	750
31	93.00	1500.03	469	804
32	96.00	1500.03	473	708
33	99.00	1500.03	515	679
34	102.00	1500.03	480	594
35	105.00	1500.03	501	585
36	108.00	1500.03	490	629
37	111.00	1500.03	455	654
38	114.00	1500.03	469	626
39	117.00	1500.03	496	650
40	120.00	1500.03	485	663
41	123.00	1500.03	475	717
42	126.00	1500.03	510	683
43	129.00	1500.03	492	666
44	132.00	1500.03	476	670
45	135.00	1500.03	485	677
46	138.00	1500.03	476	627
47	141.00	1500.03	409	619
48	144.00	1500.03	454	691
49	147.00	1500.03	457	613
50	150.00	1500.03	457	649
51	153.00	1500.03	427	631
52	156.00	1500.03	502	671
53	159.00	1500.03	475	620
54	162.00	1500.03	466	666
55	165.00	1500.03	443	689
56	168.00	1500.03	467	648
57	171.00	1500.03	467	625
58	174.00	1500.03	472	712
59	177.00	1500.03	509	645
60	180.00	1500.03	463	652
61	183.00	1500.03	477	670
62	186.00	1500.03	490	656
63	189.00	1500.03	522	614
64	192.00	1500.03	515	640
65	195.00	1500.03	460	619
66	198.00	1500.03	495	716
67	201.00	1500.03	477	674
68	204.00	1500.03	432	727
69	207.00	1500.03	438	727
70	210.00	1500.03	469	796
71	213.00	1500.03	463	747
72	216.00	1500.03	418	747
73	219.00	1500.03	434	706
74	222.00	1500.03	481	635
75	225.00	1500.03	490	683
76	228.00	1500.03	471	625
77	231.00	1500.03	452	628
78	234.00	1500.03	473	749
79	237.00	1500.03	488	787
80	240.00	1500.03	516	904
81	243.00	1500.03	475	974
82	246.00	1500.03	499	1056
83	249.00	1500.03	488	939
84	252.00	1500.03	491	984
85	255.00	1500.03	461	855
86	258.00	1500.03	495	904
87	261.00	1500.03	543	771
88	264.00	1500.03	462	667
89	267.00	1500.03	470	624
90	270.00	1500.03	522	648
91	273.00	1500.03	446	656
92	276.00	1500.03	489	684
93	279.00	1500.03	501	724
94	282.00	1500.03	499	743
95	285.00	1500.03	494	742
96	288.00	1500.03	517	790
97	291.00	1500.03	498	758
98	294.00	1500.03	435	780
99	297.00	1500.03	448	705
100	300.00	1500.03	462	647
101	303.00	1500.03	478	623
102	306.00	1500.03	503	618
103	309.00	1500.03	477	613
104	312.00	1500.03	525	665
105	315.00	1500.03	474	670
106	318.00	1500.03	485	708
107	321.00	1500.03	485	667
108	324.00	1500.03	499	653
109	327.00	1500.03	428	704
110	330.00	1500.03	489	665
111	333.00	1500.03	432	681
112	336.00	1500.03	438	666
113	339.00	1500.03	446	584
114	342.00	1500.03	459	632
115	345.00	1500.03	482	662
116	348.00	1500.03	508	610
117	351.00	1500.03	469	617
118	354.00	1500.03	497	617
119	357.00	1500.03	481	660
120	360.00	1500.03	481	636
121	363.00	1500.03	463	657
122	366.00	1500.03	490	667
123	369.00	1500.03	502	646
124	372.00	1500.03	481	653
125	375.00	1500.03	446	646
126	378.00	1500.03	472	701
127	381.00	1500.03	456	585
128	384.00	1500.03	446	605
129	387.00	1500.03	485	621
130	390.00	1500.03	461	543
131	393.00	1500.03	457	647
132	396.00	1500.03	451	705
133	399.00	1500.03	465	682
134	402.00	1500.03	524	698
135	405.00	1500.03	444	782
136	408.00	1500.03	470	806
137	411.00	1500.03	440	811
138	414.00	1500.03	466	798
139	417.00	1500.03	443	701
140	420.00	1500.03	478	651
141	423.00	1500.03	468	631
142	426.00	1500.03	458	617
143	429.00	1500.03	464	645
144	432.00	1500.03	458	669
* end: 28/09/2023 08:54:03
