* begin:	23.06.2021 18:06:11
* script file:	D:\data\Cycle 190\exp_CRG-2887\rawdata\sc\TOF_PS_RF1+2_weak_1h.cfg
*
* no cfg file, sc file created manually
* 0	1.1800000	60.0	11189	8602	381167	36618	3707312775	19791	0.0000000	0.0000000
* Date: 23.06.2021	Time: 19:06
* Pulsetime (탎):0.000003	Looptime (탎): 304.000000	BinWidth (탎): 1.000000	BinCount: 305	measured time (s): 3600.009000
* Bin NR >>  탎  >>  Counts O  >>  Counts AUX
* begin of data:
0	0.00	3600.01	12	87
1	1.00	3600.01	29	144
2	2.00	3600.01	34	142
3	3.00	3600.01	31	108
4	4.00	3600.01	34	122
5	5.00	3600.01	29	115
6	6.00	3600.01	31	106
7	7.00	3600.01	29	114
8	8.00	3600.01	46	93
9	9.00	3600.01	44	91
10	10.00	3600.01	37	93
11	11.00	3600.01	38	109
12	12.00	3600.01	39	100
13	13.00	3600.01	39	109
14	14.00	3600.01	41	116
15	15.00	3600.01	47	138
16	16.00	3600.01	37	136
17	17.00	3600.01	41	139
18	18.00	3600.01	34	114
19	19.00	3600.01	39	129
20	20.00	3600.01	24	121
21	21.00	3600.01	34	117
22	22.00	3600.01	43	112
23	23.00	3600.01	32	93
24	24.00	3600.01	29	85
25	25.00	3600.01	42	98
26	26.00	3600.01	35	118
27	27.00	3600.01	35	92
28	28.00	3600.01	37	139
29	29.00	3600.01	25	124
30	30.00	3600.01	35	137
31	31.00	3600.01	38	131
32	32.00	3600.01	37	139
33	33.00	3600.01	31	132
34	34.00	3600.01	34	148
35	35.00	3600.01	41	140
36	36.00	3600.01	26	138
37	37.00	3600.01	23	107
38	38.00	3600.01	38	126
39	39.00	3600.01	35	130
40	40.00	3600.01	41	120
41	41.00	3600.01	40	89
42	42.00	3600.01	34	118
43	43.00	3600.01	28	96
44	44.00	3600.01	41	92
45	45.00	3600.01	41	114
46	46.00	3600.01	44	102
47	47.00	3600.01	36	116
48	48.00	3600.01	26	141
49	49.00	3600.01	40	135
50	50.00	3600.01	41	143
51	51.00	3600.01	29	134
52	52.00	3600.01	33	127
53	53.00	3600.01	34	106
54	54.00	3600.01	44	117
55	55.00	3600.01	31	115
56	56.00	3600.01	44	117
57	57.00	3600.01	43	103
58	58.00	3600.01	43	113
59	59.00	3600.01	39	110
60	60.00	3600.01	35	121
61	61.00	3600.01	43	120
62	62.00	3600.01	36	125
63	63.00	3600.01	37	129
64	64.00	3600.01	37	132
65	65.00	3600.01	34	127
66	66.00	3600.01	36	120
67	67.00	3600.01	39	125
68	68.00	3600.01	38	142
69	69.00	3600.01	41	130
70	70.00	3600.01	48	109
71	71.00	3600.01	24	122
72	72.00	3600.01	37	119
73	73.00	3600.01	45	108
74	74.00	3600.01	30	147
75	75.00	3600.01	37	125
76	76.00	3600.01	33	128
77	77.00	3600.01	48	118
78	78.00	3600.01	38	138
79	79.00	3600.01	34	113
80	80.00	3600.01	32	116
81	81.00	3600.01	43	122
82	82.00	3600.01	32	99
83	83.00	3600.01	46	120
84	84.00	3600.01	41	107
85	85.00	3600.01	42	110
86	86.00	3600.01	43	114
87	87.00	3600.01	35	101
88	88.00	3600.01	38	109
89	89.00	3600.01	40	103
90	90.00	3600.01	30	139
91	91.00	3600.01	29	135
92	92.00	3600.01	34	122
93	93.00	3600.01	31	117
94	94.00	3600.01	31	121
95	95.00	3600.01	33	120
96	96.00	3600.01	36	115
97	97.00	3600.01	29	121
98	98.00	3600.01	31	123
99	99.00	3600.01	35	100
100	100.00	3600.01	37	108
101	101.00	3600.01	39	87
102	102.00	3600.01	34	101
103	103.00	3600.01	40	105
104	104.00	3600.01	37	116
105	105.00	3600.01	40	130
106	106.00	3600.01	39	131
