#  ps_pos exposure_time(s) O-Beam H-Beam Monitor AUX-Beam time(s) O+H+AUX encod1 encod2
-0.197754 20.0 392 2286 119187 965 3776292364 3643 0.000000 0.000000
0.000000 20.0 365 2676 119675 834 3776292391 3875 0.000000 0.000000
0.186768 20.0 319 2982 118902 538 3776292417 3839 0.000000 0.000000
0.395508 20.0 259 3372 119351 304 3776292444 3935 0.000000 0.000000
0.593262 20.0 191 3467 119679 193 3776292471 3851 0.000000 0.000000
0.802002 20.0 176 3306 119058 315 3776292497 3797 0.000000 0.000000
0.988769 20.0 162 3137 119260 489 3776292524 3788 0.000000 0.000000
1.208496 20.0 242 2606 119676 817 3776292551 3665 0.000000 0.000000
1.384277 20.0 302 2410 119913 1071 3776292578 3783 0.000000 0.000000
1.604004 20.0 359 2237 118909 1047 3776292604 3643 0.000000 0.000000
1.812744 20.0 395 2202 119180 1061 3776292631 3658 0.000000 0.000000
1.988525 20.0 390 2539 119028 866 3776292658 3795 0.000000 0.000000
2.186279 20.0 326 2850 118992 566 3776292684 3742 0.000000 0.000000
2.395020 20.0 258 3201 119618 358 3776292711 3817 0.000000 0.000000
2.603760 20.0 195 3460 119418 199 3776292738 3854 0.000000 0.000000
2.801514 20.0 158 3364 119154 258 3776292764 3780 0.000000 0.000000
2.999268 20.0 177 3273 119389 525 3776292791 3975 0.000000 0.000000
