# Current(A) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos coil_amp(A)
-1.7500000 60.0 131 6296 640718 7445 3764626083 6427 0.0000000 0.0000000 109.2749020 13.3375000
-1.5000000 60.0 316 6346 628088 7429 3764626147 6662 0.0000000 0.0000000 109.2749020 13.3375000
-1.2500000 60.0 973 6425 625171 7427 3764626211 7398 0.0000000 0.0000000 109.2749020 13.3375000
-1.0000000 60.0 1810 6428 731589 7348 3764626275 8238 0.0000000 0.0000000 109.2749020 13.3375000
-0.7500000 60.0 2414 6341 671828 7394 3764626339 8755 0.0000000 0.0000000 109.2749020 13.3375000
-0.5000000 60.0 2480 6352 651435 7497 3764626404 8832 0.0000000 0.0000000 109.2749020 13.3375000
-0.2500000 60.0 2180 6419 633256 7515 3764626468 8599 0.0000000 0.0000000 109.2749020 13.3375000
0.0000000 60.0 1309 6250 684262 7538 3764626532 7559 0.0000000 0.0000000 109.2749020 13.3375000
0.2500000 60.0 521 6365 662161 7534 3764626596 6886 0.0000000 0.0000000 109.2749020 13.3375000
0.5000000 60.0 127 6344 679848 7474 3764626661 6471 0.0000000 0.0000000 109.2749020 13.3375000
0.7500000 60.0 379 6362 744021 7308 3764626725 6741 0.0000000 0.0000000 109.2749020 13.3375000
1.0000000 60.0 1033 6388 664347 7505 3764626789 7421 0.0000000 0.0000000 109.2749020 13.3375000
1.2500000 60.0 1776 6388 639300 7447 3764626853 8164 0.0000000 0.0000000 109.2749020 13.3375000
1.5000000 60.0 2493 6307 690903 7429 3764626917 8800 0.0000000 0.0000000 109.2749020 13.3375000
1.7500000 60.0 2563 6428 739211 7487 3764626982 8991 0.0000000 0.0000000 109.2749020 13.3375000
