# Current(A) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos coil_amp(A)
-1.7500000 60.0 81 11839 612863 7402 3764614317 11920 0.0000000 0.0000000 108.8999020 13.7156250
-1.5000000 60.0 92 11566 629002 7433 3764614381 11658 0.0000000 0.0000000 108.8999020 13.7156250
-1.2500000 60.0 188 11649 626395 7482 3764614445 11837 0.0000000 0.0000000 108.8999020 13.7156250
-1.0000000 60.0 343 11750 695240 7544 3764614509 12093 0.0000000 0.0000000 108.8999020 13.7156250
-0.7500000 60.0 483 11734 643034 7536 3764614574 12217 0.0000000 0.0000000 108.8999020 13.7156250
-0.5000000 60.0 504 11770 647258 7474 3764614638 12274 0.0000000 0.0000000 108.8999020 13.7156250
-0.2500000 60.0 373 11545 651196 7446 3764614702 11918 0.0000000 0.0000000 108.8999020 13.7156250
0.0000000 60.0 248 11599 645050 7520 3764614766 11847 0.0000000 0.0000000 108.8999020 13.7156250
0.2500000 60.0 94 11559 648119 7437 3764614830 11653 0.0000000 0.0000000 108.8999020 13.7156250
0.5000000 60.0 51 11586 651990 7448 3764614895 11637 0.0000000 0.0000000 108.8999020 13.7156250
0.7500000 60.0 114 11404 648265 7398 3764614959 11518 0.0000000 0.0000000 108.8999020 13.7156250
1.0000000 60.0 251 11591 631287 7490 3764615023 11842 0.0000000 0.0000000 108.8999020 13.7156250
1.2500000 60.0 345 11715 658669 7349 3764615087 12060 0.0000000 0.0000000 108.8999020 13.7156250
1.5000000 60.0 464 11701 650186 7408 3764615151 12165 0.0000000 0.0000000 108.8999020 13.7156250
1.7500000 60.0 496 11752 642017 7484 3764615216 12248 0.0000000 0.0000000 108.8999020 13.7156250
