# Current(A) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos coil_amp(A)
-1.7500000 60.0 111 6935 644121 7511 3764600203 7046 0.0000000 0.0000000 108.4501950 13.0531250
-1.5000000 60.0 298 7079 645915 7503 3764600268 7377 0.0000000 0.0000000 108.4501950 13.0531250
-1.2500000 60.0 941 6956 639409 7551 3764600332 7897 0.0000000 0.0000000 108.4501950 13.0531250
-1.0000000 60.0 1706 6842 645366 7553 3764600396 8548 0.0000000 0.0000000 108.4501950 13.0531250
-0.7500000 60.0 2299 6983 644392 7407 3764600460 9282 0.0000000 0.0000000 108.4501950 13.0531250
-0.5000000 60.0 2484 6792 641762 7555 3764600524 9276 0.0000000 0.0000000 108.4501950 13.0531250
-0.2500000 60.0 2034 6878 641648 7493 3764600588 8912 0.0000000 0.0000000 108.4501950 13.0531250
0.0000000 60.0 1226 6899 644043 7477 3764600653 8125 0.0000000 0.0000000 108.4501950 13.0531250
0.2500000 60.0 476 6834 684281 7569 3764600717 7310 0.0000000 0.0000000 108.4501950 13.0531250
0.5000000 60.0 134 6961 684722 7508 3764600781 7095 0.0000000 0.0000000 108.4501950 13.0531250
0.7500000 60.0 352 6819 683824 7512 3764600845 7171 0.0000000 0.0000000 108.4501950 13.0531250
1.0000000 60.0 998 6978 683519 7507 3764600909 7976 0.0000000 0.0000000 108.4501950 13.0531250
1.2500000 60.0 1749 7076 680818 7503 3764600973 8825 0.0000000 0.0000000 108.4501950 13.0531250
1.5000000 60.0 2217 6729 681240 7590 3764601038 8946 0.0000000 0.0000000 108.4501950 13.0531250
1.7500000 60.0 2321 6923 675956 7387 3764601102 9244 0.0000000 0.0000000 108.4501950 13.0531250
