# Coil O-Beam err ps_pos
-1.4000000 0.0311429 0.0017222 -0.1098630
-1.2000000 0.0242907 0.0015182 -0.1098630
-1.0000000 0.0200056 0.0013708 -0.1098630
-0.8000000 0.0112695 0.0010419 -0.1098630
-0.6000000 0.0084882 0.0008947 -0.1098630
-0.4000000 0.0109154 0.0010223 -0.1098630
-0.2000000 0.0158775 0.0012213 -0.1098630
0.0000000 0.0215603 0.0014279 -0.1098630
0.2000000 0.0298969 0.0016739 -0.1098630
0.4000000 0.0367654 0.0018713 -0.1098630
0.6000000 0.0379138 0.0018910 -0.1098630
0.8000000 0.0325555 0.0017502 -0.1098630
1.0000000 0.0276280 0.0016168 -0.1098630
1.2000000 0.0176063 0.0012841 -0.1098630
1.4000000 0.0135613 0.0011380 -0.1098630
