# ps_pos exposure_time(s) O-Beam H-Beam Monitor AUX-Beam time(s) O+H encod1 encod2
-1.999512 30.0 611 9273 187135 1653 3782909468 9884 0.000000 0.000000
-1.812744 30.0 910 8012 187200 2279 3782909504 8922 0.000000 0.000000
-1.604004 30.0 1242 6502 187013 3217 3782909540 7744 0.000000 0.000000
-1.395264 30.0 1447 5743 187435 3676 3782909577 7190 0.000000 0.000000
-1.197510 30.0 1456 5686 186666 3524 3782909613 7142 0.000000 0.000000
-1.010742 30.0 1264 6720 185536 3125 3782909649 7984 0.000000 0.000000
-0.802002 30.0 971 7878 185549 2232 3782909685 8849 0.000000 0.000000
-0.604248 30.0 625 9347 185660 1374 3782909721 9972 0.000000 0.000000
-0.395508 30.0 404 10167 185935 875 3782909757 10571 0.000000 0.000000
-0.197754 30.0 388 10017 185901 888 3782909794 10405 0.000000 0.000000
0.000000 30.0 509 9702 185478 1358 3782909830 10211 0.000000 0.000000
0.186768 30.0 753 8293 188527 2069 3782909866 9046 0.000000 0.000000
0.395508 30.0 1058 7028 188541 2823 3782909902 8086 0.000000 0.000000
0.582275 30.0 1348 5864 187119 3542 3782909938 7212 0.000000 0.000000
0.812988 30.0 1504 5729 186811 3737 3782909975 7233 0.000000 0.000000
0.999756 30.0 1357 6274 186646 3203 3782910011 7631 0.000000 0.000000
1.197510 30.0 1052 7482 186798 2514 3782910047 8534 0.000000 0.000000
1.395264 30.0 773 8872 186701 1646 3782910083 9645 0.000000 0.000000
1.604004 30.0 522 9977 186976 1088 3782910119 10499 0.000000 0.000000
1.801758 30.0 384 10203 186711 862 3782910156 10587 0.000000 0.000000
2.010498 30.0 514 9695 187424 1188 3782910192 10209 0.000000 0.000000
