# Position(mm) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos
0.0000000 60.0 1249 5857 634732 8012 3764549764 7106 0.0000000 0.0000000 109.8750000
5.0000000 60.0 1849 5810 631051 7741 3764549832 7659 0.0000000 0.0000000 109.8750000
10.0000000 60.0 2360 5758 633239 7818 3764549899 8118 0.0000000 0.0000000 109.8750000
15.0000000 60.0 2454 5834 619483 7957 3764549967 8288 0.0000000 0.0000000 109.8750000
20.0000000 60.0 2019 5759 579964 7910 3764550034 7778 0.0000000 0.0000000 109.8750000
25.0000000 60.0 1359 5914 554330 8086 3764550102 7273 0.0000000 0.0000000 109.8750000
30.0000000 60.0 620 5710 576273 7977 3764550169 6330 0.0000000 0.0000000 109.8750000
35.0000000 60.0 163 5701 666295 7814 3764550237 5864 0.0000000 0.0000000 109.8750000
40.0000000 60.0 184 5961 652903 7913 3764550304 6145 0.0000000 0.0000000 109.8750000
45.0000000 60.0 677 5747 622996 7867 3764550372 6424 0.0000000 0.0000000 109.8750000
50.0000000 60.0 1445 5809 628180 7861 3764550440 7254 0.0000000 0.0000000 109.8750000
55.0000000 60.0 2105 5912 644438 8004 3764550507 8017 0.0000000 0.0000000 109.8750000
60.0000000 60.0 2357 5917 681859 7980 3764550575 8274 0.0000000 0.0000000 109.8750000
65.0000000 60.0 2285 5720 717952 7934 3764550642 8005 0.0000000 0.0000000 109.8750000
70.0000000 60.0 1755 5851 634680 7833 3764550710 7606 0.0000000 0.0000000 109.8750000
75.0000000 60.0 987 5958 690125 7925 3764550777 6945 0.0000000 0.0000000 109.8750000
80.0000000 60.0 354 6031 643930 7940 3764550845 6385 0.0000000 0.0000000 109.8750000
85.0000000 60.0 156 5922 544902 7851 3764550912 6078 0.0000000 0.0000000 109.8750000
90.0000000 60.0 412 5896 653793 7891 3764550980 6308 0.0000000 0.0000000 109.8750000
95.0000000 60.0 1125 6062 651351 7911 3764551048 7187 0.0000000 0.0000000 109.8750000
