# Position(mm) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos
0.0000000 60.0 1152 6513 641280 7933 3764530930 7665 0.0000000 0.0000000 109.2744140
5.0000000 60.0 1852 6477 634284 7860 3764530998 8329 0.0000000 0.0000000 109.2744140
10.0000000 60.0 2196 6398 617841 8105 3764531065 8594 0.0000000 0.0000000 109.2744140
15.0000000 60.0 2123 6569 637152 7810 3764531133 8692 0.0000000 0.0000000 109.2744140
20.0000000 60.0 1706 6736 625466 7966 3764531200 8442 0.0000000 0.0000000 109.2744140
25.0000000 60.0 1029 6658 657083 7903 3764531268 7687 0.0000000 0.0000000 109.2744140
30.0000000 60.0 457 6758 775806 7998 3764531336 7215 0.0000000 0.0000000 109.2744140
35.0000000 60.0 133 6697 711602 7946 3764531403 6830 0.0000000 0.0000000 109.2744140
40.0000000 60.0 206 6532 710788 8001 3764531471 6738 0.0000000 0.0000000 109.2744140
45.0000000 60.0 704 6470 679049 7982 3764531538 7174 0.0000000 0.0000000 109.2744140
50.0000000 60.0 1262 6700 629694 8057 3764531606 7962 0.0000000 0.0000000 109.2744140
55.0000000 60.0 1820 6658 649828 7815 3764531674 8478 0.0000000 0.0000000 109.2744140
60.0000000 60.0 2200 6484 646009 7872 3764531741 8684 0.0000000 0.0000000 109.2744140
65.0000000 60.0 1970 6643 676246 7898 3764531809 8613 0.0000000 0.0000000 109.2744140
70.0000000 60.0 1465 6535 707495 7910 3764531876 8000 0.0000000 0.0000000 109.2744140
75.0000000 60.0 984 6333 649864 7936 3764531944 7317 0.0000000 0.0000000 109.2744140
80.0000000 60.0 316 6707 626584 7911 3764532011 7023 0.0000000 0.0000000 109.2744140
85.0000000 60.0 131 6521 698235 8008 3764532079 6652 0.0000000 0.0000000 109.2744140
90.0000000 60.0 384 6310 726049 7874 3764532147 6694 0.0000000 0.0000000 109.2744140
95.0000000 60.0 1061 6343 722104 7924 3764532214 7404 0.0000000 0.0000000 109.2744140
