# Position(mm) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos
0.0000000 60.0 682 5796 672233 1971 3764107475 6478 0.0000000 0.0000000 108.8999020
5.0000000 60.0 1116 5704 689937 1934 3764107543 6820 0.0000000 0.0000000 108.8999020
10.0000000 60.0 1323 5607 656552 1878 3764107610 6930 0.0000000 0.0000000 108.8999020
15.0000000 60.0 1281 5776 675794 1935 3764107678 7057 0.0000000 0.0000000 108.8999020
20.0000000 60.0 1143 5722 650987 1955 3764107745 6865 0.0000000 0.0000000 108.8999020
25.0000000 60.0 698 5667 605501 1977 3764107813 6365 0.0000000 0.0000000 108.8999020
30.0000000 60.0 297 5721 627424 1940 3764107880 6018 0.0000000 0.0000000 108.8999020
35.0000000 60.0 99 5635 639922 2071 3764107948 5734 0.0000000 0.0000000 108.8999020
40.0000000 60.0 165 5686 625005 1975 3764108016 5851 0.0000000 0.0000000 108.8999020
45.0000000 60.0 439 5729 608562 1984 3764108083 6168 0.0000000 0.0000000 108.8999020
50.0000000 60.0 835 5727 618678 1997 3764108151 6562 0.0000000 0.0000000 108.8999020
55.0000000 60.0 1197 5641 633312 1911 3764108218 6838 0.0000000 0.0000000 108.8999020
60.0000000 60.0 1364 5618 623747 1966 3764108286 6982 0.0000000 0.0000000 108.8999020
65.0000000 60.0 1252 5770 615229 2038 3764108353 7022 0.0000000 0.0000000 108.8999020
70.0000000 60.0 863 5635 617362 2079 3764108421 6498 0.0000000 0.0000000 108.8999020
75.0000000 60.0 480 5775 609148 1929 3764108488 6255 0.0000000 0.0000000 108.8999020
80.0000000 60.0 193 5793 622835 1952 3764108556 5986 0.0000000 0.0000000 108.8999020
85.0000000 60.0 99 5778 630933 1923 3764108624 5877 0.0000000 0.0000000 108.8999020
90.0000000 60.0 279 5824 638926 2007 3764108691 6103 0.0000000 0.0000000 108.8999020
95.0000000 60.0 646 5786 629883 1964 3764108759 6432 0.0000000 0.0000000 108.8999020
