*Begin rocking: 03/11/2023 23:19:07
*Points: 0
*
*notes: 
*Rho-Axis: 2.360
N	encoder[°]	time[s]	O-Detector	H-Detector	Monitor	Aux
         0	0.4770100	5	22	362	33283	4	384
         1	0.4770500	5	40	362	32964	8	402
         2	0.4770900	5	63	405	32992	7	468
         3	0.4771500	5	140	481	33348	4	621
         4	0.4772000	5	217	565	33208	4	782
         5	0.4772500	5	406	595	32881	7	1001
         6	0.4773000	5	678	731	32839	9	1409
         7	0.4773500	5	945	780	32995	4	1725
         8	0.4774000	5	1136	1083	32970	6	2219
         9	0.4774500	5	1116	1503	33370	6	2619
        10	0.4775000	5	1466	1434	32806	5	2900
        11	0.4775500	5	1698	1239	33342	4	2937
        12	0.4776000	5	1720	1201	33118	8	2921
        13	0.4776600	5	1275	1367	32992	7	2642
        14	0.4777000	5	996	1122	33640	5	2118
        15	0.4777500	5	630	915	33910	11	1545
        16	0.4778100	5	416	773	33574	7	1189
        17	0.4778500	5	212	763	33576	6	975
        18	0.4779000	5	168	701	33538	4	869
        19	0.4779500	5	122	666	33456	7	788
        20	0.4780000	5	68	542	33593	7	610
        21	0.4780600	5	23	480	33675	9	503
        22	0.4781000	5	21	405	33836	5	426
        23	0.4781500	5	16	435	33760	2	451
        24	0.4782000	5	25	421	33463	2	446
        25	0.4782500	5	85	483	33540	9	568
        26	0.4782900	5	69	504	33377	4	573
        27	0.4783600	5	34	464	33904	7	498
        28	0.4784000	5	42	443	34038	4	485
        29	0.4784600	5	61	518	33492	4	579
        30	0.4785100	5	92	529	33518	7	621
        31	0.4785400	5	228	577	33402	5	805
        32	0.4786000	5	409	600	33591	8	1009
        33	0.4786600	5	654	684	33467	4	1338
        34	0.4787000	5	930	787	33448	11	1717
        35	0.4787500	5	1261	902	33238	10	2163
        36	0.4788000	5	1495	1105	33240	7	2600
        37	0.4788500	5	1619	1321	33309	6	2940
        38	0.4789100	5	1776	1238	33453	6	3014
        39	0.4789600	5	1611	1206	33489	7	2817
        40	0.4790100	5	1248	1286	32955	9	2534
        41	0.4790700	5	960	1046	32854	6	2006
        42	0.4791000	5	686	853	32772	5	1539
        43	0.4791400	5	462	799	32849	12	1261
        44	0.4792100	5	240	693	32639	10	933
        45	0.4792600	5	133	541	32856	3	674
        46	0.4793000	5	100	490	33197	8	590
        47	0.4793500	5	47	451	33204	11	498
        48	0.4794000	5	22	359	32783	6	381
        49	0.4794500	5	21	273	32996	5	294
*stopped by user: 03/11/2023 23:24:45
