*Begin rocking: 25/10/2023 18:21:06
*Points: 0
*
*notes: 
*Rho-Axis: 2.360
N	encoder[°]	time[s]	O-Detector	H-Detector	Monitor	Aux
         0	0.4778000	4	23	302	26209	195	325
         1	0.4778600	4	39	368	25954	229	407
         2	0.4779000	4	48	461	25985	260	509
         3	0.4779500	4	66	528	25932	338	594
         4	0.4780000	4	67	715	26193	420	782
         5	0.4780500	4	90	923	25932	451	1013
         6	0.4781000	4	132	1177	25930	641	1309
         7	0.4781500	4	192	1539	25950	702	1731
         8	0.4782000	4	201	1816	25878	824	2017
         9	0.4782500	4	296	1867	25933	813	2163
        10	0.4783000	4	298	2045	26006	873	2343
        11	0.4783500	4	389	2003	26090	813	2392
        12	0.4784000	4	359	1826	25911	779	2185
        13	0.4784500	4	369	1648	26031	718	2017
        14	0.4785000	4	366	1374	25877	669	1740
        15	0.4785500	4	350	1023	25941	595	1373
        16	0.4786100	4	343	833	26303	561	1176
        17	0.4786600	4	251	740	26191	450	991
        18	0.4787100	4	199	580	26237	413	779
        19	0.4787500	4	125	478	26087	365	603
        20	0.4788100	4	86	462	26026	344	548
        21	0.4788600	4	55	427	26097	293	482
        22	0.4789000	4	67	448	26337	266	515
        23	0.4789500	4	88	509	25964	325	597
        24	0.4790000	4	73	494	26039	310	567
        25	0.4790600	4	64	461	25827	284	525
        26	0.4791000	4	45	566	25880	372	611
        27	0.4791500	4	62	632	25983	376	694
        28	0.4792100	4	84	759	26158	460	843
        29	0.4792600	4	93	968	25882	491	1061
        30	0.4793100	4	139	1246	25987	574	1385
        31	0.4793500	4	175	1473	26257	655	1648
        32	0.4794000	4	229	1754	25921	725	1983
        33	0.4794500	4	271	2040	26106	800	2311
        34	0.4795100	4	307	2039	26159	793	2346
        35	0.4795500	4	363	2006	25906	841	2369
        36	0.4796100	4	416	1808	26083	803	2224
        37	0.4796500	4	446	1610	25935	771	2056
        38	0.4797000	4	367	1412	25935	788	1779
        39	0.4797600	4	307	1095	25928	654	1402
        40	0.4798000	4	248	830	26187	541	1078
        41	0.4798600	4	175	650	26154	442	825
        42	0.4799100	4	128	520	26064	410	648
        43	0.4799600	4	97	480	25891	315	577
        44	0.4800000	4	78	380	26144	246	458
        45	0.4800500	4	56	340	26051	202	396
        46	0.4801100	4	24	269	26164	169	293
        47	0.4801600	4	20	225	25930	141	245
        48	0.4802100	4	18	220	26225	153	238
*end: 25/10/2023 18:25:54
