*Begin rocking: 05/11/2023 11:55:14
*Points: 0
*
*notes: 
*Rho-Axis: 2.360
N	encoder[°]	time[s]	O-Detector	H-Detector	Monitor	Aux
         0	0.4770000	5	484	606	35826	4	1090
         1	0.4770400	5	655	683	34425	3	1338
         2	0.4771000	5	721	1010	34163	7	1731
         3	0.4771600	5	1037	1202	33538	6	2239
         4	0.4772000	5	1186	1430	33781	6	2616
         5	0.4772500	5	1419	1489	33753	8	2908
         6	0.4773000	5	1515	1367	33233	6	2882
         7	0.4773500	5	1338	1451	33408	3	2789
         8	0.4774000	5	1040	1506	33601	5	2546
         9	0.4774400	5	873	1229	33475	14	2102
        10	0.4775000	5	549	1030	33488	10	1579
        11	0.4775500	5	345	918	33623	8	1263
        12	0.4776000	5	248	774	33414	3	1022
        13	0.4776500	5	146	702	33334	4	848
        14	0.4777100	5	137	691	33309	10	828
        15	0.4777500	5	44	504	33529	7	548
        16	0.4778100	5	26	432	33676	7	458
        17	0.4778500	5	27	413	33459	2	440
        18	0.4779000	5	21	450	33092	6	471
        19	0.4779600	5	42	425	33411	4	467
        20	0.4780200	5	81	488	33426	4	569
        21	0.4780500	5	83	439	33528	3	522
        22	0.4781000	5	50	442	33659	10	492
        23	0.4781500	5	40	458	33558	6	498
        24	0.4782100	5	72	514	33694	6	586
        25	0.4782600	5	119	566	33417	2	685
        26	0.4783000	5	226	567	33636	8	793
        27	0.4783500	5	364	672	33486	13	1036
        28	0.4784000	5	590	653	33750	4	1243
        29	0.4784500	5	859	906	33160	5	1765
        30	0.4785100	5	1130	1105	33840	6	2235
        31	0.4785500	5	1415	1209	33561	4	2624
        32	0.4786100	5	1448	1498	33711	7	2946
        33	0.4786600	5	1527	1488	33682	4	3015
        34	0.4787000	5	1321	1469	33536	2	2790
        35	0.4787600	5	1107	1403	33994	5	2510
        36	0.4788000	5	788	1250	34041	3	2038
        37	0.4788500	5	712	892	33975	3	1604
        38	0.4789100	5	397	793	33762	6	1190
        39	0.4789500	5	244	732	33811	4	976
        40	0.4790100	5	113	606	34037	5	719
        41	0.4790500	5	59	455	33719	6	514
        42	0.4790900	5	25	434	33618	5	459
*stopped by user: 05/11/2023 12:00:06
