*Begin rocking: 27/10/2023 17:31:44
*Points: 0
*
*notes: 
*Rho-Axis: 2.360
N	encoder[°]	time[s]	O-Detector	H-Detector	Monitor	Aux
         0	0.4776100	5	3	5	33482	4	8
         1	0.4776500	5	9	4	33525	0	13
         2	0.4777000	5	7	6	33312	3	13
         3	0.4777600	5	7	24	33458	2	31
         4	0.4777900	5	14	36	33934	6	50
         5	0.4778400	5	13	49	34142	0	62
         6	0.4779100	5	20	87	34151	6	107
         7	0.4779600	5	39	131	34087	4	170
         8	0.4780100	5	70	238	34316	2	308
         9	0.4780500	5	69	312	34125	2	381
        10	0.4781100	5	97	434	34374	4	531
        11	0.4781400	5	111	632	34113	3	743
        12	0.4782000	5	144	716	34266	2	860
        13	0.4782500	5	138	749	32574	3	887
        14	0.4783000	5	137	729	33492	2	866
        15	0.4783500	5	98	592	33424	5	690
        16	0.4784000	5	102	471	32995	5	573
        17	0.4784500	5	65	308	33891	5	373
        18	0.4785000	5	57	196	33820	4	253
        19	0.4785500	5	45	92	33548	5	137
        20	0.4786100	5	25	68	33949	1	93
        21	0.4786500	5	13	47	33314	0	60
        22	0.4787000	5	7	16	33647	4	23
        23	0.4787600	5	5	9	33764	4	14
        24	0.4787900	5	4	5	33706	2	9
        25	0.4788600	5	4	14	32668	4	18
        26	0.4789000	5	4	33	33772	7	37
        27	0.4789500	5	1	39	33204	1	40
        28	0.4790100	5	0	11	32581	3	11
        29	0.4790600	5	0	14	33614	3	14
        30	0.4791000	5	3	10	33452	7	13
        31	0.4791600	5	1	35	33304	3	36
        32	0.4792000	5	0	72	33511	4	72
        33	0.4792600	5	0	149	33419	3	149
        34	0.4793000	5	1	238	33489	3	239
        35	0.4793600	5	0	359	33281	2	359
        36	0.4794100	5	2	606	33713	1	608
        37	0.4794500	5	1	705	33406	1	706
        38	0.4794900	5	0	757	33135	2	757
        39	0.4795600	5	0	719	34490	5	719
        40	0.4796000	5	2	683	34375	1	685
        41	0.4796500	5	1	601	34410	6	602
        42	0.4797100	5	0	361	34494	3	361
        43	0.4797500	5	0	261	34439	3	261
        44	0.4798100	5	1	171	34441	3	172
        45	0.4798600	5	1	102	34432	6	103
        46	0.4799100	5	0	64	34384	4	64
        47	0.4799600	5	1	43	34358	1	44
        48	0.4800000	5	0	25	34358	5	25
        49	0.4800500	5	0	20	34354	3	20
        50	0.4801100	5	0	15	34395	2	15
        51	0.4801600	5	0	2	34525	3	2
        52	0.4802000	5	0	2	34405	4	2
        53	0.4802400	5	1	4	34624	1	5
        54	0.4803100	5	0	1	34399	4	1
*stopped by user: 27/10/2023 17:38:00
