# Position(Steps)	Detector(cnts):	
0.000000000000000000e+00 1.037400000000000000e+04
1.500000000000000000e+05 1.052900000000000000e+04
3.000000000000000000e+05 1.041000000000000000e+04
4.500000000000000000e+05 1.026500000000000000e+04
6.000000000000000000e+05 1.044200000000000000e+04
7.500000000000000000e+05 1.034200000000000000e+04
9.000000000000000000e+05 1.046400000000000000e+04
1.050000000000000000e+06 1.022500000000000000e+04
1.200000000000000000e+06 1.030600000000000000e+04
1.350000000000000000e+06 1.045200000000000000e+04
1.500000000000000000e+06 1.018400000000000000e+04
1.650000000000000000e+06 1.015200000000000000e+04
1.800000000000000000e+06 1.037500000000000000e+04
1.950000000000000000e+06 1.033500000000000000e+04
2.100000000000000000e+06 1.020000000000000000e+04
2.250000000000000000e+06 1.022500000000000000e+04
2.400000000000000000e+06 1.018700000000000000e+04
2.550000000000000000e+06 1.030000000000000000e+04
2.700000000000000000e+06 1.021700000000000000e+04
2.850000000000000000e+06 1.012300000000000000e+04
3.000000000000000000e+06 1.032800000000000000e+04
