I_Scan_mA,Detector_cnts
0.0,842.0
200000.0,1457.0
400000.0,2891.0
600000.0,5452.0
800000.0,8120.0
1000000.0,10619.0
1200000.0,12630.0
1400000.0,13728.0
1600000.0,13457.0
1800000.0,11773.0
2000000.0,9817.0
2200000.0,7045.0
2400000.0,4225.0
2600000.0,2143.0
2800000.0,950.0
3000000.0,741.0
3200000.0,1709.0
