I_Scan_mA,Detector_cnts
0.0,7244.0
200000.0,4470.0
400000.0,2305.0
600000.0,1102.0
800000.0,963.0
1000000.0,2086.0
1200000.0,4013.0
1400000.0,6645.0
1600000.0,9310.0
1800000.0,11785.0
2000000.0,13265.0
2200000.0,13621.0
2400000.0,12835.0
2600000.0,10970.0
2800000.0,8502.0
3000000.0,5878.0
3200000.0,3326.0
