# ps_pos exposure_time(s) O-Beam H-Beam Monitor AUX-Beam time(s) O+H encod1 encod2
0.010986 10.0 53 869 116753 152 3782107827 922 0.000000 0.000000
0.197754 10.0 53 964 116935 88 3782107854 1017 0.000000 0.000000
0.384522 10.0 54 968 116506 89 3782107881 1022 0.000000 0.000000
0.604248 10.0 68 831 116266 175 3782107909 899 0.000000 0.000000
0.791016 10.0 105 693 116966 263 3782107936 798 0.000000 0.000000
0.999756 10.0 122 592 117195 355 3782107963 714 0.000000 0.000000
1.186523 10.0 117 461 116619 406 3782107990 578 0.000000 0.000000
1.395264 10.0 137 461 116814 433 3782108018 598 0.000000 0.000000
1.604004 10.0 112 589 116792 351 3782108045 701 0.000000 0.000000
1.790771 10.0 106 710 116641 291 3782108072 816 0.000000 0.000000
1.988525 10.0 64 857 116468 154 3782108100 921 0.000000 0.000000
2.197266 10.0 39 1023 116402 77 3782108127 1062 0.000000 0.000000
2.395020 10.0 45 971 116838 68 3782108154 1016 0.000000 0.000000
2.603760 10.0 64 905 116825 142 3782108181 969 0.000000 0.000000
2.790527 10.0 101 722 116934 228 3782108209 823 0.000000 0.000000
2.999268 10.0 129 595 117052 327 3782108236 724 0.000000 0.000000
3.197021 10.0 130 437 116193 418 3782108263 567 0.000000 0.000000
3.394775 10.0 142 474 116737 402 3782108291 616 0.000000 0.000000
3.603516 10.0 118 580 116841 369 3782108318 698 0.000000 0.000000
3.801270 10.0 103 697 116347 266 3782108345 800 0.000000 0.000000
3.999023 10.0 68 819 116797 182 3782108373 887 0.000000 0.000000
