# chi w+ err
-0.9512310 7.2822526 1.1606996
-0.3036094 2.2845115 1.4434469
0.3008379 -0.4635465 0.7813453
0.9052933 -2.9050180 0.9776252
1.5058179 -8.6493528 1.6589398
2.1102653 -11.9185357 2.7082659
2.7147127 -3.2792821 3.4756966
3.3191681 3.3807842 5.9081978
3.9157619 16.4497797 2.6425704
4.5202173 11.5616239 1.7871516
5.1246647 4.8949051 1.2408556
5.7291121 3.7792104 1.4450198
6.3296367 0.4528569 1.1435378
6.9340921 -4.2356784 1.2157668
7.5385395 -7.5106489 1.9914428
8.1390641 -15.2023688 1.6051864
8.7435114 -17.2280209 3.3801911
9.3440361 7.1619177 6.4627902
9.9484915 23.9284717 4.7854593
10.5490161 13.2740678 2.3466166
11.1534635 6.2339804 1.2062316
11.7579108 6.5234308 1.7362777
12.3584355 2.6734781 1.3071646
12.9628909 -1.6856145 0.8817746
13.5634155 -5.6283613 1.3557514
14.1717856 -6.0236538 1.6482334
14.7683875 -10.1298858 3.0928262
15.3728348 -10.0688805 4.2848558
15.9733595 12.5447568 3.4252105
16.5778149 9.8972501 1.3561907
17.1861850 10.0700295 2.1219953
17.7827869 5.7359972 1.2642192
