# chi w+ err
-0.9354880 15.0037927 1.8998362
-0.2853806 19.8694837 2.1942787
0.3213868 14.3987496 2.4692386
0.9281623 19.2544090 2.4869352
1.5309920 13.4567528 3.2303560
2.1377594 27.6837169 4.6150152
2.7445269 38.2215995 6.3424026
3.3513024 47.6650117 5.7298237
3.9501862 25.1776216 4.8080605
4.5569617 13.8613029 3.4391197
5.1637292 1.4922085 2.9088692
5.7704966 8.0081349 3.2380933
6.3733263 15.8317210 1.9513775
6.9801018 15.8061498 3.1656178
7.5868692 14.5826186 2.4912840
8.1896989 24.0662102 5.5282092
8.7964663 47.8218653 6.9128245
9.3992960 43.0910434 7.7494324
10.0060715 22.3883213 9.4812653
10.6089012 13.6667048 2.9145984
11.2156686 17.4394159 3.1390175
11.8224361 15.3855748 3.7709315
12.4252657 9.2274434 2.8851377
13.0320413 15.2108670 3.0543195
13.6348709 16.0473053 2.1362015
14.2455762 17.2530304 3.9227998
14.8444680 26.7452363 5.1015753
15.4512355 45.6257349 8.9299950
16.0540651 42.5389779 6.3688692
16.6608406 29.0153202 4.8172035
17.2715459 17.8972528 4.1486505
17.8704377 15.6646678 2.2271911
