# ps_pos w+ err
107.9941410 7.5164279 1.1976124
108.0747070 2.3534419 1.4847255
108.1499020 -0.4694889 0.8023137
108.2250980 -2.9877573 1.0077060
108.2998050 -9.0185964 1.7357564
108.3750000 -12.8997521 2.9249898
108.4501950 -4.0772342 4.1470572
108.5253910 3.9509494 7.4208783
108.5996090 17.9557535 2.8647176
108.6748050 12.1181353 1.8732982
108.7500000 5.0510541 1.2826196
108.8251950 3.8846668 1.4860064
108.8999020 0.4691829 1.1740485
108.9750980 -4.3530757 1.2520123
109.0502930 -7.8181654 2.0731768
109.1250000 -16.3690324 1.7091999
109.2001950 -20.1246750 3.9209014
109.2749020 9.4835595 8.5630250
109.3500980 28.5277846 5.5967091
109.4248050 14.1326915 2.4891972
109.5000000 6.4681036 1.2619092
109.5751950 6.7268941 1.7907246
109.6499020 2.7532786 1.3438395
109.7250980 -1.7262725 0.9066091
109.7998050 -5.8017605 1.4005822
109.8754880 -6.2981386 1.7266475
109.9497070 -11.0385396 3.3943985
110.0249020 -12.2396973 5.1418222
110.0996090 15.0171422 4.1037858
110.1748050 10.7446928 1.4898566
110.2504880 10.5652957 2.2312710
110.3247070 5.9176971 1.3058088
