# ps_pos w+ err
107.9941410 15.7754569 1.3092682
108.0747070 18.2808552 1.4360345
108.1499020 15.4146731 1.5768886
108.2250980 18.0661106 1.5816561
108.2998050 15.0662163 2.0043723
108.3750000 23.7624841 2.7250719
108.4501950 32.1102046 4.1611036
108.5253910 37.1170722 3.7013646
108.5996090 22.2228626 2.8675888
108.6748050 15.3882151 2.0915303
108.7500000 8.5259991 1.8241426
108.8251950 11.8273320 1.9349245
108.8999020 16.1613244 1.3420197
108.9750980 16.1885498 1.8789547
109.0502930 15.6718413 1.5690047
109.1250000 21.1543025 3.0092997
109.2001950 34.5586532 4.0029497
109.2749020 34.4653624 4.7574189
109.3500980 21.4438424 5.0677093
109.4248050 15.5180519 1.7721276
109.5000000 17.1968727 1.8746659
109.5751950 15.9214678 2.1617689
109.6499020 12.6628902 1.7579801
109.7250980 15.8201245 1.8211501
109.7998050 16.3801146 1.4243145
109.8754880 17.3572161 2.3127505
109.9497070 23.6394741 3.1022887
110.0249020 35.7782147 5.6916519
110.0996090 34.4777437 3.8440404
110.1748050 24.5632670 2.8163205
110.2504880 17.5746855 2.4185347
110.3247070 16.1435154 1.4731268
