# ps_pos w+ err
107.9941410 15.0037927 1.8998362
108.0747070 19.8694837 2.1942787
108.1499020 14.3987496 2.4692386
108.2250980 19.2544090 2.4869352
108.2998050 13.4567528 3.2303560
108.3750000 27.6837169 4.6150152
108.4501950 38.2215995 6.3424026
108.5253910 47.6650117 5.7298237
108.5996090 25.1776216 4.8080605
108.6748050 13.8613029 3.4391197
108.7500000 1.4922085 2.9088692
108.8251950 8.0081349 3.2380933
108.8999020 15.8317210 1.9513775
108.9750980 15.8061498 3.1656178
109.0502930 14.5826186 2.4912840
109.1250000 24.0662102 5.5282092
109.2001950 47.8218653 6.9128245
109.2749020 43.0910434 7.7494324
109.3500980 22.3883213 9.4812653
109.4248050 13.6667048 2.9145984
109.5000000 17.4394159 3.1390175
109.5751950 15.3855748 3.7709315
109.6499020 9.2274434 2.8851377
109.7250980 15.2108670 3.0543195
109.7998050 16.0473053 2.1362015
109.8754880 17.2530304 3.9227998
109.9497070 26.7452363 5.1015753
110.0249020 45.6257349 8.9299950
110.0996090 42.5389779 6.3688692
110.1748050 29.0153202 4.8172035
110.2504880 17.8972528 4.1486505
110.3247070 15.6646678 2.2271911
