# chi w+ err
-0.9558227 7.3037411 1.1630119
-0.3078960 2.3008014 1.4445464
0.2968362 -0.4491826 0.7811832
0.9015764 -2.8925848 0.9767243
1.5023840 -8.6366157 1.6559942
2.1071162 -11.9253322 2.7030856
2.7118484 -3.3758936 3.4713263
3.3165886 3.2616739 5.9227462
3.9134635 16.4379586 2.6479277
4.5182038 11.5651734 1.7901320
5.1229359 4.8954631 1.2421950
5.7276681 3.7807018 1.4459120
6.3284757 0.4526908 1.1438515
6.9332159 -4.2375416 1.2158744
7.5379481 -7.5152364 1.9915179
8.1387557 -15.2149374 1.6053332
8.7434878 -17.2562226 3.3820842
9.3442954 7.1464172 6.4698946
9.9490356 23.9222390 4.7874443
10.5498432 13.2624959 2.3463816
11.1545754 6.2212926 1.2056775
11.7593076 6.5093616 1.7361895
12.3601151 2.6588085 1.3075173
12.9648554 -1.7024741 0.8823652
13.5656629 -5.6487004 1.3574599
14.1743197 -6.0416327 1.6514853
14.7712027 -10.1392077 3.1006632
15.3759349 -10.0271050 4.2961452
15.9767425 12.6021610 3.4192653
16.5814827 9.8972807 1.3531896
17.1901394 10.0399669 2.1171657
17.7870224 5.7082894 1.2625802
