# chi w+ err
-0.9287690 16.4785195 1.9617653
-0.2791654 20.1044636 2.3334595
0.3271318 16.8521788 2.3974266
0.9334371 20.8896758 2.5083492
1.5357996 12.8193402 3.5202986
2.1420968 22.4244765 4.6057420
2.7483940 39.2023199 6.9237247
3.3546993 39.0533292 7.4145883
3.9531190 19.2621452 5.4594670
4.5594243 14.9606466 3.3865357
5.1657215 4.3573838 2.7109341
5.7720188 11.3195043 2.8303154
6.3743813 15.2954729 2.0742594
6.9806865 16.7571205 2.8331209
7.5869838 13.1637142 2.6135018
8.1893463 26.7748558 5.7414055
8.7956435 36.2205354 8.1910452
9.3980060 27.6849385 8.6822476
10.0043113 22.9466103 9.5553220
10.6066738 12.3197105 2.6430788
11.2129710 18.4585326 3.3913759
11.8192682 18.7716277 4.1462272
12.4216307 10.6998496 3.1618040
13.0279360 16.8982919 3.0768790
13.6302985 16.5968502 2.3656609
14.2405305 18.1540093 4.0068514
14.8389582 28.0989348 5.1592397
15.4452554 45.1176057 11.7374657
16.0476179 34.7124512 5.7964067
16.6539232 26.6670899 4.5877115
17.2641552 19.6166462 4.1360059
17.8625829 16.2383956 2.3217093
