* begin:	16/09/2023 19:01:09
* script file:	D:\data\Cycle 192ter\exp_3-16-14\rawdata\sc\TOF_vs_chi_A1_19pt_pi8_1500s.cfg
*
* no cfg file, sc file created manually
* 0	0.1495100	5.0	18832	40	30689	52387	3777729973	18872	0.0000000	0.0000000
* Date: 16/09/2023	Time: 19:26
* Pulsetime (탎):0.000003	Looptime (탎): 434.000000	BinWidth (탎): 3.000000	BinCount: 145	measured time (s): 1500.001000
* Bin NR >>  탎  >>  rec.time  >>  Counts O  >>  Counts AUX
* begin of data:
0	0.00	1500.00	72	245
1	3.00	1500.00	127	399
2	6.00	1500.00	138	421
3	9.00	1500.00	139	415
4	12.00	1500.00	142	412
5	15.00	1500.00	114	399
6	18.00	1500.00	148	419
7	21.00	1500.00	107	367
8	24.00	1500.00	101	364
9	27.00	1500.00	125	367
10	30.00	1500.00	135	367
11	33.00	1500.00	120	341
12	36.00	1500.00	119	360
13	39.00	1500.00	112	343
14	42.00	1500.00	108	370
15	45.00	1500.00	105	347
16	48.00	1500.00	125	417
17	51.00	1500.00	111	393
18	54.00	1500.00	116	426
19	57.00	1500.00	116	442
20	60.00	1500.00	149	410
21	63.00	1500.00	128	368
22	66.00	1500.00	158	397
23	69.00	1500.00	116	348
24	72.00	1500.00	141	371
25	75.00	1500.00	147	350
26	78.00	1500.00	143	302
27	81.00	1500.00	155	319
28	84.00	1500.00	151	338
29	87.00	1500.00	143	304
30	90.00	1500.00	150	296
31	93.00	1500.00	144	321
32	96.00	1500.00	142	254
33	99.00	1500.00	134	298
34	102.00	1500.00	161	319
35	105.00	1500.00	147	297
36	108.00	1500.00	119	302
37	111.00	1500.00	118	324
38	114.00	1500.00	128	361
39	117.00	1500.00	132	317
40	120.00	1500.00	132	360
41	123.00	1500.00	106	343
42	126.00	1500.00	102	343
43	129.00	1500.00	93	408
44	132.00	1500.00	116	391
45	135.00	1500.00	112	415
46	138.00	1500.00	123	445
47	141.00	1500.00	109	446
48	144.00	1500.00	120	424
49	147.00	1500.00	102	424
50	150.00	1500.00	112	453
51	153.00	1500.00	119	414
52	156.00	1500.00	113	389
53	159.00	1500.00	108	390
54	162.00	1500.00	130	407
55	165.00	1500.00	141	373
56	168.00	1500.00	151	372
57	171.00	1500.00	134	380
58	174.00	1500.00	136	323
59	177.00	1500.00	122	341
60	180.00	1500.00	112	352
61	183.00	1500.00	141	313
62	186.00	1500.00	152	280
63	189.00	1500.00	153	288
64	192.00	1500.00	148	276
65	195.00	1500.00	142	307
66	198.00	1500.00	130	300
67	201.00	1500.00	129	307
68	204.00	1500.00	126	264
69	207.00	1500.00	135	311
70	210.00	1500.00	137	321
71	213.00	1500.00	149	303
72	216.00	1500.00	114	379
73	219.00	1500.00	108	364
74	222.00	1500.00	107	349
75	225.00	1500.00	109	404
76	228.00	1500.00	106	397
77	231.00	1500.00	108	391
78	234.00	1500.00	123	390
79	237.00	1500.00	120	450
80	240.00	1500.00	111	424
81	243.00	1500.00	101	413
82	246.00	1500.00	106	450
83	249.00	1500.00	125	387
84	252.00	1500.00	100	435
85	255.00	1500.00	117	401
86	258.00	1500.00	136	445
87	261.00	1500.00	137	395
88	264.00	1500.00	140	395
89	267.00	1500.00	168	370
90	270.00	1500.00	138	351
91	273.00	1500.00	129	350
92	276.00	1500.00	155	386
93	279.00	1500.00	143	313
94	282.00	1500.00	144	322
95	285.00	1500.00	136	330
96	288.00	1500.00	118	296
97	291.00	1500.00	137	307
98	294.00	1500.00	141	303
99	297.00	1500.00	125	278
100	300.00	1500.00	137	321
101	303.00	1500.00	121	322
102	306.00	1500.00	130	299
103	309.00	1500.00	140	273
104	312.00	1500.00	125	321
105	315.00	1500.00	148	328
106	318.00	1500.00	129	332
107	321.00	1500.00	146	368
108	324.00	1500.00	134	384
109	327.00	1500.00	147	397
110	330.00	1500.00	137	404
111	333.00	1500.00	149	413
112	336.00	1500.00	150	415
113	339.00	1500.00	145	444
114	342.00	1500.00	140	412
115	345.00	1500.00	135	429
116	348.00	1500.00	134	450
117	351.00	1500.00	135	433
118	354.00	1500.00	123	403
119	357.00	1500.00	103	421
120	360.00	1500.00	121	414
121	363.00	1500.00	129	416
122	366.00	1500.00	110	407
123	369.00	1500.00	112	409
124	372.00	1500.00	129	364
125	375.00	1500.00	130	365
126	378.00	1500.00	104	344
127	381.00	1500.00	131	324
128	384.00	1500.00	134	316
129	387.00	1500.00	112	289
130	390.00	1500.00	117	298
131	393.00	1500.00	126	286
132	396.00	1500.00	137	286
133	399.00	1500.00	135	278
134	402.00	1500.00	167	299
135	405.00	1500.00	152	294
136	408.00	1500.00	132	287
137	411.00	1500.00	130	323
138	414.00	1500.00	148	362
139	417.00	1500.00	162	336
140	420.00	1500.00	148	337
141	423.00	1500.00	128	367
142	426.00	1500.00	194	380
143	429.00	1500.00	141	411
144	432.00	1500.00	146	405
* end: 16/09/2023 19:26:14
