# chi w_im1 w_im1_err w_im2 w_im2_err
-3.959803018742585223e+00 -1.241655414749629927e+00 1.060962498793495273e-01 1.013139014609223620e+00 1.007239526114288575e-01
-3.551314291545190294e+00 -2.515078527543826326e+00 4.577585345782169690e-01 2.225031092666275523e+00 4.237787929648118568e-01
-3.142825564347794920e+00 2.646513572357907407e+01 1.789416026279095036e+02 -2.367701595339881848e+01 1.601779365623288527e+02
-2.635309266920728977e+00 2.061224599813834768e+00 3.821271773445255593e-01 -2.046560579764987953e+00 3.771039367139834564e-01
-2.260861266989782958e+00 1.073796282824100778e+00 9.561813177049881263e-02 -1.003396937522727184e+00 9.311110045505729960e-02
-1.784291085259488874e+00 6.630646539397067052e-01 5.657500698865636918e-02 -6.288970216118147105e-01 5.540031424709875724e-02
-1.341761630795644145e+00 4.203267551211138375e-01 4.076979018574166530e-02 -4.047109561025639124e-01 3.998307381303820018e-02
-9.332729035982491039e-01 2.611690779543511254e-01 3.448344624858729057e-02 -2.698547746547070303e-01 3.384679705143925355e-02
-4.257566061711824945e-01 1.102255113654109775e-01 3.132795696174679040e-02 -1.344063685808506714e-01 3.074969276344438271e-02
-1.726787897378756487e-02 -3.499157680755649036e-02 3.070562903572628469e-02 -4.603560401194357193e-02 3.013015403656621460e-02
4.252615754900571088e-01 -1.990546928936985649e-01 3.174388039920783555e-02 1.498047091165829459e-01 3.111847822776126968e-02
9.018317572203513599e-01 -2.076454271967902998e-01 3.468623502689201915e-02 2.301725678731227076e-01 3.405529847778768215e-02
1.310320484417746290e+00 -4.088500557879102271e-01 4.053782690368416819e-02 3.138715573138805004e-01 3.962179972166642722e-02
1.786890666148040374e+00 -6.061407168254697719e-01 5.391303745463760927e-02 6.083413587667366729e-01 5.294786336668722698e-02
2.192284781775758251e+00 -9.715468251027454816e-01 9.112090140167618257e-02 8.206385739739923135e-01 8.785144168748340587e-02
2.634814236239602980e+00 -1.912233881853948159e+00 2.755432000554022265e-01 1.669836475667007880e+00 2.578280716451050170e-01
3.111384417969897065e+00 -2.291681710750429701e+00 9.540914479385316227e-01 1.452749380401135326e+00 7.679056693850199178e-01
3.553913872433741794e+00 1.558664735874099261e+00 2.886003615187281435e-01 -1.997859732282268208e+00 3.156936604210303643e-01
3.996443326897586079e+00 1.092332126306599260e+00 9.981861606053624159e-02 -1.117022108903154010e+00 9.862269549761762399e-02
4.435878169791754644e+00 5.824574970535584262e-01 5.813003021846170626e-02 -6.154959863120090802e-01 5.723169109228294638e-02
4.878407624255598485e+00 3.976961721483582290e-01 4.270105009740525481e-02 -4.255028145753672608e-01 4.196777133216489375e-02
5.286896351452993414e+00 2.623531135199522746e-01 3.590426856598961242e-02 -3.087578306881475498e-01 3.528650644033125977e-02
