# chi cos2 cos2err
-1.493999999999999995e+00 2.963992236051872624e+03 1.147559387753420310e+02
-1.362000000000000099e+00 7.509922360518726236e+02 1.046705569117220733e+02
-1.229999999999999982e+00 1.499223605187262365e+01 1.010936471011410731e+02
-1.066000000000000059e+00 8.129922360518726236e+02 1.049663064235855074e+02
-9.449999999999999512e-01 3.279992236051872624e+03 1.161246118796960616e+02
-7.910000000000000364e-01 6.430992236051872169e+03 1.289803298344753273e+02
-6.480000000000000204e-01 1.049899223605187217e+04 1.438885870533519835e+02
-5.160000000000000142e-01 1.374399223605187217e+04 1.547544037635441612e+02
-3.519999999999999796e-01 1.612199223605187217e+04 1.622557409899879417e+02
-2.200000000000000011e-01 1.667699223605187217e+04 1.639570842757642026e+02
-7.699999999999999900e-02 1.579899223605187217e+04 1.612573269163607677e+02
7.699999999999999900e-02 1.357499223605187217e+04 1.542074106008205092e+02
2.089999999999999913e-01 1.058799223605187217e+04 1.441975224621076848e+02
3.629999999999999893e-01 6.870992236051872169e+03 1.306748846726487443e+02
4.939999999999999947e-01 3.429992236051872624e+03 1.167686836622304725e+02
6.370000000000000107e-01 1.119992236051872624e+03 1.064186331626658699e+02
7.910000000000000364e-01 3.289922360518726236e+02 1.026349135733549929e+02
9.340000000000000524e-01 9.739922360518726236e+02 1.057304378323009217e+02
1.076999999999999957e+00 3.110992236051872624e+03 1.153946510207906044e+02
1.219000000000000083e+00 6.113992236051872169e+03 1.277455497628392891e+02
1.362000000000000099e+00 9.718992236051872169e+03 1.411521359534103794e+02
1.493999999999999995e+00 1.283599223605187217e+04 1.517923762387625573e+02
