# chi w_re1 w_re1_err w_re2 w_re2_err
-3.959803018742585223e+00 2.703999892718588205e-01 8.791769050165305910e-02 8.511036687892028496e-01 8.675208491850348869e-02
-3.551314291545190294e+00 -5.861347213238901066e-01 3.123827776905637177e-01 1.699654727597041948e+00 3.229515365408291983e-01
-3.142825564347794920e+00 3.729247000753200609e+03 2.721613901944638201e+04 -3.263943996780335965e+03 2.520414588859213109e+04
-2.635309266920728977e+00 1.645751262948519367e-01 3.282961307798840656e-01 1.472269349769638858e+00 2.796682517203970542e-01
-2.260861266989782958e+00 1.809463755657249040e-01 7.933177491450056629e-02 7.175532689422055022e-01 7.873347989966034133e-02
-1.784291085259488874e+00 4.102896796959155101e-01 5.589757592770269040e-02 5.265953036774393414e-01 5.391421883881123561e-02
-1.341761630795644145e+00 4.203780545867114582e-01 4.622731536918004563e-02 5.761572963656143020e-01 4.545005140052441051e-02
-9.332729035982491039e-01 4.385383065028527483e-01 4.896933639145406580e-02 4.813491818167703884e-01 4.686896502847449908e-02
-4.257566061711824945e-01 5.021467142605482437e-01 8.494404522328637130e-02 5.399963169349827341e-01 7.906815391714741570e-02
-1.726787897378756487e-02 3.771508825077186433e+00 1.506780708187527962e+00 2.641920196851780922e+00 1.210238402927618528e+00
4.252615754900571088e-01 3.352028382246295957e-01 8.279311397593785982e-02 6.080485612210275725e-01 9.160617349086572214e-02
9.018317572203513599e-01 4.886620404909284288e-01 5.175052606175521014e-02 6.022292022278986634e-01 5.126375142974343851e-02
1.310320484417746290e+00 3.734689064770596589e-01 4.662930984058191730e-02 5.349524997624081069e-01 4.605344445709250167e-02
1.786890666148040374e+00 3.683220190012556627e-01 5.409932791799264284e-02 6.279442425412655737e-01 5.343332067163220761e-02
2.192284781775758251e+00 3.028620169065241452e-01 7.848411318939452208e-02 7.954845282514736438e-01 7.886285546906332544e-02
2.634814236239602980e+00 -2.866690806753092180e-01 1.779850931358561705e-01 1.148846886921477406e+00 1.811040038029656518e-01
3.111384417969897065e+00 -1.612537273114442371e+01 6.555524085540320733e+00 1.181434045559719337e+01 5.954785540816310174e+00
3.553913872433741794e+00 2.530501950248172927e-01 2.977937323621837051e-01 1.628529873942600847e+00 2.650871430193590950e-01
3.996443326897586079e+00 1.972289513183850262e-01 8.473175998261851805e-02 7.793880778276207622e-01 8.431941234969173027e-02
4.435878169791754644e+00 4.379402396527048991e-01 5.760762732375088874e-02 5.369616419117302364e-01 5.551591025836362381e-02
4.878407624255598485e+00 4.498060912310796189e-01 4.857579359405649055e-02 6.034043387315841667e-01 4.776665573512507701e-02
5.286896351452993414e+00 4.905789239990952511e-01 5.394764616805410723e-02 5.292033377506422109e-01 5.158628830233762813e-02
