# ps_pos exposure_time(s) O-Beam H-Beam Monitor AUX-Beam time(s) O+H encod1 encod2
-1.999512 30.0 946 15378 192821 2450 3782660230 16324 0.000000 0.000000
-1.812744 30.0 565 17228 194116 1271 3782660266 17793 0.000000 0.000000
-1.604004 30.0 623 17121 194635 1132 3782660303 17744 0.000000 0.000000
-1.406250 30.0 954 15631 194735 2138 3782660339 16585 0.000000 0.000000
-1.197510 30.0 1606 12922 196253 3758 3782660375 14528 0.000000 0.000000
-1.010742 30.0 2056 10116 195577 5688 3782660411 12172 0.000000 0.000000
-0.802002 30.0 2629 7641 195884 7160 3782660447 10270 0.000000 0.000000
-0.604248 30.0 2638 7427 194523 7422 3782660484 10065 0.000000 0.000000
-0.395508 30.0 2365 8747 194330 6545 3782660520 11112 0.000000 0.000000
-0.197754 30.0 1763 11451 193151 4683 3782660557 13214 0.000000 0.000000
-0.010986 30.0 1123 14275 191067 3041 3782660593 15398 0.000000 0.000000
0.186768 30.0 678 16773 192129 1538 3782660629 17451 0.000000 0.000000
0.395508 30.0 538 17267 190949 1035 3782660665 17805 0.000000 0.000000
0.604248 30.0 785 16154 191429 1712 3782660702 16939 0.000000 0.000000
0.791016 30.0 1436 13563 191340 3397 3782660738 14999 0.000000 0.000000
0.988769 30.0 2007 10649 191259 5124 3782660774 12656 0.000000 0.000000
1.197510 30.0 2564 8222 190946 6667 3782660811 10786 0.000000 0.000000
1.395264 30.0 2694 7352 192846 7458 3782660847 10046 0.000000 0.000000
1.604004 30.0 2484 8118 195057 7004 3782660883 10602 0.000000 0.000000
1.801758 30.0 2080 10316 193981 5582 3782660919 12396 0.000000 0.000000
1.988525 30.0 1335 13327 191162 3591 3782660956 14662 0.000000 0.000000
