# ps_pos exposure_time(s) O-Beam H-Beam Monitor AUX-Beam time(s) O+H encod1 encod2
-2.010498 30.0 668 9608 188850 1600 3782854303 10276 0.000000 0.000000
-1.801758 30.0 946 8450 188965 2477 3782854339 9396 0.000000 0.000000
-1.604004 30.0 1242 7102 188478 3182 3782854375 8344 0.000000 0.000000
-1.395264 30.0 1445 6177 188462 3779 3782854411 7622 0.000000 0.000000
-1.208496 30.0 1382 6067 189200 3811 3782854448 7449 0.000000 0.000000
-0.999756 30.0 1344 6871 188982 3383 3782854484 8215 0.000000 0.000000
-0.812988 30.0 975 8270 188657 2453 3782854520 9245 0.000000 0.000000
-0.604248 30.0 699 9620 188843 1587 3782854557 10319 0.000000 0.000000
-0.395508 30.0 444 10545 188528 928 3782854593 10989 0.000000 0.000000
-0.208740 30.0 391 10807 188350 804 3782854629 11198 0.000000 0.000000
0.000000 30.0 506 9891 188313 1318 3782854665 10397 0.000000 0.000000
0.186768 30.0 831 8662 189072 2128 3782854701 9493 0.000000 0.000000
0.406494 30.0 1181 7413 188999 3025 3782854738 8594 0.000000 0.000000
0.604248 30.0 1324 6308 188168 3555 3782854774 7632 0.000000 0.000000
0.791016 30.0 1411 6251 186527 3675 3782854810 7662 0.000000 0.000000
0.999756 30.0 1338 6836 186654 3557 3782854847 8174 0.000000 0.000000
1.197510 30.0 1152 7824 187277 2700 3782854883 8976 0.000000 0.000000
1.384277 30.0 789 8930 186923 2062 3782854919 9719 0.000000 0.000000
1.604004 30.0 518 10257 186719 1155 3782854955 10775 0.000000 0.000000
1.801758 30.0 448 10388 186469 1104 3782854991 10836 0.000000 0.000000
1.999512 30.0 528 10275 186817 1219 3782855028 10803 0.000000 0.000000
