# BinNR microsec O-Beam AUX chi(deg)
0.000 3600.010 14 54 80.000
1.000 3600.010 40 108 80.000
2.000 3600.010 29 117 80.000
3.000 3600.010 31 115 80.000
4.000 3600.010 39 105 80.000
5.000 3600.010 36 88 80.000
6.000 3600.010 32 84 80.000
7.000 3600.010 31 94 80.000
8.000 3600.010 40 89 80.000
9.000 3600.010 37 74 80.000
10.000 3600.010 39 61 80.000
11.000 3600.010 37 83 80.000
12.000 3600.010 33 112 80.000
13.000 3600.010 34 90 80.000
14.000 3600.010 39 116 80.000
15.000 3600.010 38 100 80.000
16.000 3600.010 26 117 80.000
17.000 3600.010 29 100 80.000
18.000 3600.010 37 108 80.000
19.000 3600.010 27 91 80.000
20.000 3600.010 31 96 80.000
21.000 3600.010 22 74 80.000
22.000 3600.010 23 84 80.000
23.000 3600.010 31 87 80.000
24.000 3600.010 26 72 80.000
25.000 3600.010 21 86 80.000
26.000 3600.010 37 86 80.000
27.000 3600.010 34 92 80.000
28.000 3600.010 24 91 80.000
29.000 3600.010 20 90 80.000
30.000 3600.010 32 99 80.000
31.000 3600.010 24 110 80.000
32.000 3600.010 28 106 80.000
33.000 3600.010 29 76 80.000
34.000 3600.010 28 91 80.000
35.000 3600.010 35 80 80.000
36.000 3600.010 33 88 80.000
37.000 3600.010 26 74 80.000
38.000 3600.010 34 85 80.000
39.000 3600.010 26 79 80.000
40.000 3600.010 32 89 80.000
41.000 3600.010 19 63 80.000
42.000 3600.010 36 81 80.000
43.000 3600.010 34 85 80.000
44.000 3600.010 30 99 80.000
45.000 3600.010 23 88 80.000
46.000 3600.010 26 102 80.000
47.000 3600.010 35 103 80.000
48.000 3600.010 31 120 80.000
49.000 3600.010 29 96 80.000
50.000 3600.010 31 95 80.000
51.000 3600.010 37 88 80.000
52.000 3600.010 27 92 80.000
53.000 3600.010 28 75 80.000
54.000 3600.010 36 75 80.000
55.000 3600.010 31 57 80.000
56.000 3600.010 32 77 80.000
57.000 3600.010 26 93 80.000
58.000 3600.010 30 96 80.000
59.000 3600.010 41 100 80.000
60.000 3600.010 44 116 80.000
61.000 3600.010 37 98 80.000
62.000 3600.010 27 110 80.000
63.000 3600.010 24 116 80.000
