# Current(A) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos coil_amp(A)
-1.7500000 60.0 86 11057 634132 7865 3764295985 11143 0.0000000 0.0000000 109.8750000 13.4437500
-1.5000000 60.0 196 11506 653976 7846 3764296049 11702 0.0000000 0.0000000 109.8750000 13.4437500
-1.2500000 60.0 648 11301 685449 7914 3764296114 11949 0.0000000 0.0000000 109.8750000 13.4437500
-1.0000000 60.0 1100 11330 724175 7929 3764296178 12430 0.0000000 0.0000000 109.8750000 13.4437500
-0.7500000 60.0 1539 11216 666791 7836 3764296242 12755 0.0000000 0.0000000 109.8750000 13.4437500
-0.5000000 60.0 1503 11629 631238 8097 3764296306 13132 0.0000000 0.0000000 109.8750000 13.4437500
-0.2500000 60.0 1289 11305 614379 7868 3764296371 12594 0.0000000 0.0000000 109.8750000 13.4437500
0.0000000 60.0 842 11273 677166 7967 3764296435 12115 0.0000000 0.0000000 109.8750000 13.4437500
0.2500000 60.0 337 11449 694234 7914 3764296499 11786 0.0000000 0.0000000 109.8750000 13.4437500
0.5000000 60.0 74 11374 692265 7896 3764296563 11448 0.0000000 0.0000000 109.8750000 13.4437500
0.7500000 60.0 203 11213 671941 8054 3764296628 11416 0.0000000 0.0000000 109.8750000 13.4437500
1.0000000 60.0 621 11411 652415 7998 3764296692 12032 0.0000000 0.0000000 109.8750000 13.4437500
1.2500000 60.0 1068 11471 649099 8048 3764296756 12539 0.0000000 0.0000000 109.8750000 13.4437500
1.5000000 60.0 1418 11560 657355 7873 3764296820 12978 0.0000000 0.0000000 109.8750000 13.4437500
1.7500000 60.0 1581 11311 665920 7895 3764296885 12892 0.0000000 0.0000000 109.8750000 13.4437500
