# ps_pos exposure_time(s) O-Beam H-Beam Monitor AUX-Beam time(s) O+H encod1 encod2
-1.999512 30.0 433 10455 185338 1117 3782717427 10888 0.000000 0.000000
-1.801758 30.0 725 9062 186269 2096 3782717463 9787 0.000000 0.000000
-1.604004 30.0 1183 7353 186223 3149 3782717500 8536 0.000000 0.000000
-1.417236 30.0 1423 6213 186631 3933 3782717536 7636 0.000000 0.000000
-1.197510 30.0 1372 6441 185814 3686 3782717572 7813 0.000000 0.000000
-0.999756 30.0 1318 6838 188284 3372 3782717608 8156 0.000000 0.000000
-0.802002 30.0 1037 8094 186560 2537 3782717645 9131 0.000000 0.000000
-0.593262 30.0 659 9797 187834 1703 3782717681 10456 0.000000 0.000000
-0.395508 30.0 448 10441 186308 974 3782717717 10889 0.000000 0.000000
-0.197754 30.0 401 10994 186310 959 3782717753 11395 0.000000 0.000000
-0.010986 30.0 568 10247 185568 1438 3782717789 10815 0.000000 0.000000
0.197754 30.0 783 8949 186631 2120 3782717826 9732 0.000000 0.000000
0.406494 30.0 1094 7562 185705 3108 3782717862 8656 0.000000 0.000000
0.604248 30.0 1330 6503 186825 3704 3782717898 7833 0.000000 0.000000
0.802002 30.0 1472 6100 188281 3894 3782717935 7572 0.000000 0.000000
0.988769 30.0 1401 6781 188746 3532 3782717971 8182 0.000000 0.000000
1.186523 30.0 1137 7893 188019 2842 3782718007 9030 0.000000 0.000000
1.406250 30.0 746 9272 186696 1878 3782718043 10018 0.000000 0.000000
1.604004 30.0 550 10421 187283 1159 3782718079 10971 0.000000 0.000000
1.801758 30.0 382 10883 186698 814 3782718116 11265 0.000000 0.000000
1.988525 30.0 503 10433 185439 1259 3782718152 10936 0.000000 0.000000
