# Current(Amp) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos
-1.4000000 60.0 629 7758 381209 9393 3771380264 8387 0.0000000 0.0000000 1.2524410
-1.2000000 60.0 505 7926 382575 9279 3771380327 8431 0.0000000 0.0000000 1.2524410
-1.0000000 60.0 320 7865 382195 9375 3771380391 8185 0.0000000 0.0000000 1.2524410
-0.8000000 60.0 146 7937 382652 9248 3771380454 8083 0.0000000 0.0000000 1.2524410
-0.6000000 60.0 46 7965 381386 9324 3771380518 8011 0.0000000 0.0000000 1.2524410
-0.4000000 60.0 86 7628 381404 9283 3771380581 7714 0.0000000 0.0000000 1.2524410
-0.2000000 60.0 198 7616 380813 9117 3771380644 7814 0.0000000 0.0000000 1.2524410
0.0000000 60.0 371 7992 381207 9244 3771380708 8363 0.0000000 0.0000000 1.2524410
0.2000000 60.0 592 7984 381655 9551 3771380771 8576 0.0000000 0.0000000 1.2524410
0.4000000 60.0 707 7914 382029 9179 3771380835 8621 0.0000000 0.0000000 1.2524410
0.6000000 60.0 716 7771 381991 9510 3771380898 8487 0.0000000 0.0000000 1.2524410
0.8000000 60.0 615 7646 381911 9338 3771380961 8261 0.0000000 0.0000000 1.2524410
1.0000000 60.0 495 7841 380721 9114 3771381025 8336 0.0000000 0.0000000 1.2524410
1.2000000 60.0 353 7871 381081 9169 3771381088 8224 0.0000000 0.0000000 1.2524410
1.4000000 60.0 147 7779 380049 9390 3771381151 7926 0.0000000 0.0000000 1.2524410
