# Position(mm) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos
0.0000000 60.0 892 8154 796915 7467 3764620013 9046 0.0000000 0.0000000 109.1250000
5.0000000 60.0 1455 8056 715009 7513 3764620080 9511 0.0000000 0.0000000 109.1250000
10.0000000 60.0 1845 8308 720769 7912 3764620148 10153 0.0000000 0.0000000 109.1250000
15.0000000 60.0 1859 8017 667269 7658 3764620216 9876 0.0000000 0.0000000 109.1250000
20.0000000 60.0 1689 7877 634817 7633 3764620283 9566 0.0000000 0.0000000 109.1250000
25.0000000 60.0 1089 7943 656568 7502 3764620351 9032 0.0000000 0.0000000 109.1250000
30.0000000 60.0 534 8161 653524 7475 3764620418 8695 0.0000000 0.0000000 109.1250000
35.0000000 60.0 167 8419 695641 7490 3764620486 8586 0.0000000 0.0000000 109.1250000
40.0000000 60.0 189 8264 687932 7479 3764620553 8453 0.0000000 0.0000000 109.1250000
45.0000000 60.0 512 8267 669417 7477 3764620621 8779 0.0000000 0.0000000 109.1250000
50.0000000 60.0 983 8382 629085 7532 3764620689 9365 0.0000000 0.0000000 109.1250000
55.0000000 60.0 1573 8101 697783 7468 3764620756 9674 0.0000000 0.0000000 109.1250000
60.0000000 60.0 1791 8204 691207 7497 3764620824 9995 0.0000000 0.0000000 109.1250000
65.0000000 60.0 1697 8258 680113 7453 3764620891 9955 0.0000000 0.0000000 109.1250000
70.0000000 60.0 1319 8107 670827 7481 3764620959 9426 0.0000000 0.0000000 109.1250000
75.0000000 60.0 721 8264 683925 7489 3764621026 8985 0.0000000 0.0000000 109.1250000
80.0000000 60.0 286 8439 653467 7510 3764621094 8725 0.0000000 0.0000000 109.1250000
85.0000000 60.0 137 8045 640666 7461 3764621161 8182 0.0000000 0.0000000 109.1250000
90.0000000 60.0 261 8494 642462 7637 3764621229 8755 0.0000000 0.0000000 109.1250000
95.0000000 60.0 750 8195 708626 7546 3764621296 8945 0.0000000 0.0000000 109.1250000
