# Position(mm) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos
0.0000000 60.0 815 8582 687406 7638 3764605896 9397 0.0000000 0.0000000 108.6748050
5.0000000 60.0 1204 8516 651166 7546 3764605963 9720 0.0000000 0.0000000 108.6748050
10.0000000 60.0 1643 8493 645379 7376 3764606031 10136 0.0000000 0.0000000 108.6748050
15.0000000 60.0 1784 8550 669966 7393 3764606098 10334 0.0000000 0.0000000 108.6748050
20.0000000 60.0 1475 8766 707146 7427 3764606166 10241 0.0000000 0.0000000 108.6748050
25.0000000 60.0 1018 8603 714910 7524 3764606233 9621 0.0000000 0.0000000 108.6748050
30.0000000 60.0 514 8279 683605 7533 3764606301 8793 0.0000000 0.0000000 108.6748050
35.0000000 60.0 185 8697 633685 7677 3764606368 8882 0.0000000 0.0000000 108.6748050
40.0000000 60.0 134 8621 623149 7682 3764606436 8755 0.0000000 0.0000000 108.6748050
45.0000000 60.0 460 8382 625269 7561 3764606503 8842 0.0000000 0.0000000 108.6748050
50.0000000 60.0 928 8669 623991 7457 3764606571 9597 0.0000000 0.0000000 108.6748050
55.0000000 60.0 1424 8742 621542 7524 3764606638 10166 0.0000000 0.0000000 108.6748050
60.0000000 60.0 1667 8761 614237 7530 3764606706 10428 0.0000000 0.0000000 108.6748050
65.0000000 60.0 1736 8410 722857 7540 3764606773 10146 0.0000000 0.0000000 108.6748050
70.0000000 60.0 1254 8695 680883 7642 3764606841 9949 0.0000000 0.0000000 108.6748050
75.0000000 60.0 798 8389 696376 7451 3764606908 9187 0.0000000 0.0000000 108.6748050
80.0000000 60.0 350 8680 724470 7517 3764606976 9030 0.0000000 0.0000000 108.6748050
85.0000000 60.0 106 8730 732001 7508 3764607043 8836 0.0000000 0.0000000 108.6748050
90.0000000 60.0 282 8493 639914 7665 3764607111 8775 0.0000000 0.0000000 108.6748050
95.0000000 60.0 637 8727 627995 7575 3764607179 9364 0.0000000 0.0000000 108.6748050
