# ps_pos exposure_time(s) O-Beam H-Beam Monitor AUX-Beam time(s) O+H+AUX encod1 encod2 current(Amp)
-2.999268 20.0 488 2988 125760 1557 3776676324 3476 0.000000 0.000000 0.900000
-2.801514 20.0 663 2374 124509 1920 3776676350 3037 0.000000 0.000000 0.900000
-2.614746 20.0 662 2295 117842 1865 3776676377 2957 0.000000 0.000000 0.900000
-2.406006 20.0 675 2555 120963 1644 3776676404 3230 0.000000 0.000000 0.900000
-2.197266 20.0 577 3250 127183 1142 3776676430 3827 0.000000 0.000000 0.900000
-2.010498 20.0 333 4152 129569 502 3776676457 4485 0.000000 0.000000 0.900000
-1.801758 20.0 173 4770 129301 170 3776676484 4943 0.000000 0.000000 0.900000
-1.604004 20.0 142 4816 127087 239 3776676510 4958 0.000000 0.000000 0.900000
-1.395264 20.0 176 4365 130659 577 3776676537 4541 0.000000 0.000000 0.900000
-1.197510 20.0 324 3529 129128 1188 3776676564 3853 0.000000 0.000000 0.900000
-0.999756 20.0 507 2804 127483 1621 3776676591 3311 0.000000 0.000000 0.900000
-0.812988 20.0 631 2302 125597 1912 3776676617 2933 0.000000 0.000000 0.900000
-0.604248 20.0 701 2160 126268 1901 3776676644 2861 0.000000 0.000000 0.900000
-0.395508 20.0 677 2506 126758 1609 3776676671 3183 0.000000 0.000000 0.900000
-0.197754 20.0 540 3275 128945 1120 3776676697 3815 0.000000 0.000000 0.900000
0.010986 20.0 346 4109 128615 598 3776676724 4455 0.000000 0.000000 0.900000
0.197754 20.0 169 4753 126394 201 3776676751 4922 0.000000 0.000000 0.900000
0.395508 20.0 131 4792 124947 231 3776676778 4923 0.000000 0.000000 0.900000
0.593262 20.0 179 4575 124831 549 3776676804 4754 0.000000 0.000000 0.900000
0.802002 20.0 255 3807 125449 961 3776676831 4062 0.000000 0.000000 0.900000
0.988769 20.0 469 3030 126201 1504 3776676858 3499 0.000000 0.000000 0.900000
1.186523 20.0 602 2367 125703 1916 3776676885 2969 0.000000 0.000000 0.900000
1.406250 20.0 706 2094 127240 1882 3776676911 2800 0.000000 0.000000 0.900000
1.604004 20.0 642 2606 131106 1539 3776676938 3248 0.000000 0.000000 0.900000
1.801758 20.0 544 3258 131022 1137 3776676965 3802 0.000000 0.000000 0.900000
1.999512 20.0 417 4010 131746 628 3776676991 4427 0.000000 0.000000 0.900000
2.197266 20.0 230 4828 131919 270 3776677018 5058 0.000000 0.000000 0.900000
2.395020 20.0 124 4893 131754 183 3776677045 5017 0.000000 0.000000 0.900000
2.614746 20.0 137 4400 130671 502 3776677072 4537 0.000000 0.000000 0.900000
2.801514 20.0 295 3687 130864 953 3776677099 3982 0.000000 0.000000 0.900000
2.999268 20.0 469 2939 131664 1556 3776677125 3408 0.000000 0.000000 0.900000
