# ps_pos exposure_time(s) O-Beam H-Beam Monitor AUX-Beam time(s) O+H+AUX encod1 encod2 current(Amp)
-2.999268 20.0 530 1764 140095 1333 3776689173 2294 0.000000 0.000000 -1.700000
-2.801514 20.0 486 1972 139430 1135 3776689200 2458 0.000000 0.000000 -1.700000
-2.603760 20.0 372 2512 138675 751 3776689227 2884 0.000000 0.000000 -1.700000
-2.395020 20.0 227 2912 140068 358 3776689254 3139 0.000000 0.000000 -1.700000
-2.197266 20.0 156 3438 141230 179 3776689280 3594 0.000000 0.000000 -1.700000
-2.010498 20.0 91 3501 141170 148 3776689307 3592 0.000000 0.000000 -1.700000
-1.812744 20.0 164 3147 139011 369 3776689334 3311 0.000000 0.000000 -1.700000
-1.604004 20.0 198 2634 140211 656 3776689361 2832 0.000000 0.000000 -1.700000
-1.395264 20.0 357 2092 140670 1071 3776689387 2449 0.000000 0.000000 -1.700000
-1.197510 20.0 452 1815 140505 1268 3776689414 2267 0.000000 0.000000 -1.700000
-0.999756 20.0 466 1771 139206 1249 3776689441 2237 0.000000 0.000000 -1.700000
-0.812988 20.0 448 2223 140371 999 3776689468 2671 0.000000 0.000000 -1.700000
-0.604248 20.0 339 2659 139711 622 3776689494 2998 0.000000 0.000000 -1.700000
-0.395508 20.0 217 3237 138525 280 3776689521 3454 0.000000 0.000000 -1.700000
-0.219727 20.0 134 3513 139864 144 3776689548 3647 0.000000 0.000000 -1.700000
0.000000 20.0 84 3549 140499 154 3776689574 3633 0.000000 0.000000 -1.700000
0.197754 20.0 148 3114 138874 421 3776689601 3262 0.000000 0.000000 -1.700000
0.395508 20.0 253 2611 139442 679 3776689628 2864 0.000000 0.000000 -1.700000
0.593262 20.0 356 2174 139679 1111 3776689655 2530 0.000000 0.000000 -1.700000
0.802002 20.0 457 1754 139460 1283 3776689682 2211 0.000000 0.000000 -1.700000
0.999756 20.0 523 1987 138263 1277 3776689708 2510 0.000000 0.000000 -1.700000
1.208496 20.0 464 1998 138289 1019 3776689735 2462 0.000000 0.000000 -1.700000
1.395264 20.0 370 2468 139330 745 3776689762 2838 0.000000 0.000000 -1.700000
1.593018 20.0 261 2969 138853 384 3776689789 3230 0.000000 0.000000 -1.700000
1.790771 20.0 140 3446 140278 180 3776689815 3586 0.000000 0.000000 -1.700000
1.999512 20.0 112 3449 140093 155 3776689842 3561 0.000000 0.000000 -1.700000
2.186279 20.0 139 3300 141621 361 3776689869 3439 0.000000 0.000000 -1.700000
2.395020 20.0 250 2615 140143 777 3776689895 2865 0.000000 0.000000 -1.700000
2.614746 20.0 366 2109 139604 1065 3776689922 2475 0.000000 0.000000 -1.700000
2.790527 20.0 474 1817 140327 1267 3776689949 2291 0.000000 0.000000 -1.700000
2.988281 20.0 542 1732 139607 1146 3776689976 2274 0.000000 0.000000 -1.700000
