# ps_pos exposure_time(s) O-Beam H-Beam Monitor AUX-Beam time(s) O+H+AUX encod1 encod2 current(Amp)
-2.988281 20.0 359 3404 123263 1341 3776671193 3763 0.000000 0.000000 0.600000
-2.812500 20.0 604 2539 124203 1946 3776671219 3143 0.000000 0.000000 0.600000
-2.592773 20.0 706 2189 123867 2040 3776671246 2895 0.000000 0.000000 0.600000
-2.406006 20.0 670 2345 123401 1856 3776671273 3015 0.000000 0.000000 0.600000
-2.197266 20.0 609 3006 123688 1412 3776671299 3615 0.000000 0.000000 0.600000
-1.999512 20.0 427 4091 123485 754 3776671326 4518 0.000000 0.000000 0.600000
-1.812744 20.0 297 4597 123534 426 3776671353 4894 0.000000 0.000000 0.600000
-1.604004 20.0 173 4863 123729 171 3776671380 5036 0.000000 0.000000 0.600000
-1.395264 20.0 137 4661 124361 448 3776671406 4798 0.000000 0.000000 0.600000
-1.208496 20.0 261 4085 123706 814 3776671433 4346 0.000000 0.000000 0.600000
-0.999756 20.0 365 3421 124076 1409 3776671460 3786 0.000000 0.000000 0.600000
-0.812988 20.0 547 2612 123880 1790 3776671486 3159 0.000000 0.000000 0.600000
-0.615234 20.0 665 2218 124755 2029 3776671513 2883 0.000000 0.000000 0.600000
-0.406494 20.0 734 2444 124174 1828 3776671539 3178 0.000000 0.000000 0.600000
-0.219727 20.0 669 2928 124872 1372 3776671566 3597 0.000000 0.000000 0.600000
0.000000 20.0 413 4038 124160 773 3776671593 4451 0.000000 0.000000 0.600000
0.186768 20.0 285 4596 123907 368 3776671620 4881 0.000000 0.000000 0.600000
0.395508 20.0 162 4926 124052 189 3776671646 5088 0.000000 0.000000 0.600000
0.604248 20.0 137 4797 124306 328 3776671673 4934 0.000000 0.000000 0.600000
0.802002 20.0 223 4158 125264 773 3776671700 4381 0.000000 0.000000 0.600000
0.988769 20.0 395 3498 123576 1328 3776671727 3893 0.000000 0.000000 0.600000
1.197510 20.0 565 2650 123494 1745 3776671753 3215 0.000000 0.000000 0.600000
1.395264 20.0 662 2399 123576 1858 3776671780 3061 0.000000 0.000000 0.600000
1.604004 20.0 683 2309 124123 1934 3776671807 2992 0.000000 0.000000 0.600000
1.801758 20.0 681 2735 124683 1624 3776671833 3416 0.000000 0.000000 0.600000
1.988525 20.0 503 3713 123406 1005 3776671860 4216 0.000000 0.000000 0.600000
2.197266 20.0 334 4448 124316 505 3776671887 4782 0.000000 0.000000 0.600000
2.384033 20.0 185 4965 123992 208 3776671913 5150 0.000000 0.000000 0.600000
2.603760 20.0 128 4968 124294 294 3776671940 5096 0.000000 0.000000 0.600000
2.790527 20.0 226 4335 123633 712 3776671967 4561 0.000000 0.000000 0.600000
2.999268 20.0 368 3462 124986 1211 3776671994 3830 0.000000 0.000000 0.600000
