# ps_pos exposure_time(s) O-Beam H-Beam Monitor AUX-Beam time(s) O+H+AUX encod1 encod2 current(Amp)
-2.999268 20.0 439 3151 124821 1480 3776673758 3590 0.000000 0.000000 -0.800000
-2.812500 20.0 563 2602 126396 1804 3776673784 3165 0.000000 0.000000 -0.800000
-2.603760 20.0 722 2257 123821 2008 3776673811 2979 0.000000 0.000000 -0.800000
-2.395020 20.0 706 2441 125608 1825 3776673838 3147 0.000000 0.000000 -0.800000
-2.186279 20.0 530 3302 125073 1191 3776673864 3832 0.000000 0.000000 -0.800000
-1.999512 20.0 357 4242 122116 600 3776673891 4599 0.000000 0.000000 -0.800000
-1.801758 20.0 245 4770 118556 243 3776673918 5015 0.000000 0.000000 -0.800000
-1.604004 20.0 123 4847 125362 196 3776673945 4970 0.000000 0.000000 -0.800000
-1.395264 20.0 137 4536 124920 458 3776673971 4673 0.000000 0.000000 -0.800000
-1.197510 20.0 290 3723 126512 1047 3776673998 4013 0.000000 0.000000 -0.800000
-0.999756 20.0 475 3029 126235 1488 3776674025 3504 0.000000 0.000000 -0.800000
-0.812988 20.0 568 2538 129120 1937 3776674052 3106 0.000000 0.000000 -0.800000
-0.615234 20.0 686 2236 130913 1986 3776674078 2922 0.000000 0.000000 -0.800000
-0.395508 20.0 671 2638 127166 1646 3776674105 3309 0.000000 0.000000 -0.800000
-0.197754 20.0 591 3267 127297 1260 3776674132 3858 0.000000 0.000000 -0.800000
0.010986 20.0 371 4044 130660 667 3776674158 4415 0.000000 0.000000 -0.800000
0.186768 20.0 301 4526 125375 352 3776674185 4827 0.000000 0.000000 -0.800000
0.384522 20.0 159 4873 124042 150 3776674212 5032 0.000000 0.000000 -0.800000
0.604248 20.0 166 4478 125292 432 3776674238 4644 0.000000 0.000000 -0.800000
0.802002 20.0 277 3712 125003 1013 3776674265 3989 0.000000 0.000000 -0.800000
1.010742 20.0 498 2870 124314 1540 3776674291 3368 0.000000 0.000000 -0.800000
1.197510 20.0 622 2441 124127 1905 3776674318 3063 0.000000 0.000000 -0.800000
1.395264 20.0 677 2194 123421 1913 3776674345 2871 0.000000 0.000000 -0.800000
1.604004 20.0 686 2417 124228 1797 3776674371 3103 0.000000 0.000000 -0.800000
1.801758 20.0 591 3003 127990 1378 3776674398 3594 0.000000 0.000000 -0.800000
2.010498 20.0 439 3869 127007 724 3776674425 4308 0.000000 0.000000 -0.800000
2.186279 20.0 247 4575 129668 392 3776674452 4822 0.000000 0.000000 -0.800000
2.395020 20.0 158 4897 131259 251 3776674478 5055 0.000000 0.000000 -0.800000
2.603760 20.0 125 4548 127622 332 3776674505 4673 0.000000 0.000000 -0.800000
2.790527 20.0 276 4014 124265 808 3776674532 4290 0.000000 0.000000 -0.800000
2.999268 20.0 431 3063 125318 1414 3776674559 3494 0.000000 0.000000 -0.800000
