# ps_pos exposure_time(s) O-Beam H-Beam Monitor AUX-Beam time(s) O+H+AUX encod1 encod2 current(Amp)
-2.999268 20.0 716 2163 126872 1927 3776686602 2879 0.000000 0.000000 1.500000
-2.812500 20.0 692 2354 127788 1867 3776686629 3046 0.000000 0.000000 1.500000
-2.603760 20.0 593 3213 127507 1286 3776686656 3806 0.000000 0.000000 1.500000
-2.406006 20.0 388 3774 127270 817 3776686682 4162 0.000000 0.000000 1.500000
-2.197266 20.0 210 4617 128000 274 3776686709 4827 0.000000 0.000000 1.500000
-2.010498 20.0 108 4888 127598 171 3776686736 4996 0.000000 0.000000 1.500000
-1.801758 20.0 130 4742 127544 379 3776686763 4872 0.000000 0.000000 1.500000
-1.625977 20.0 235 4020 128147 871 3776686790 4255 0.000000 0.000000 1.500000
-1.395264 20.0 489 2945 127888 1531 3776686816 3434 0.000000 0.000000 1.500000
-1.197510 20.0 629 2335 128231 1913 3776686843 2964 0.000000 0.000000 1.500000
-0.999756 20.0 729 2249 128120 1993 3776686870 2978 0.000000 0.000000 1.500000
-0.802002 20.0 683 2463 127647 1807 3776686897 3146 0.000000 0.000000 1.500000
-0.604248 20.0 551 3278 127948 1177 3776686924 3829 0.000000 0.000000 1.500000
-0.395508 20.0 332 4167 127927 605 3776686951 4499 0.000000 0.000000 1.500000
-0.197754 20.0 227 4511 127109 295 3776686977 4738 0.000000 0.000000 1.500000
-0.010986 20.0 136 4797 127894 167 3776687004 4933 0.000000 0.000000 1.500000
0.186768 20.0 155 4524 126483 416 3776687031 4679 0.000000 0.000000 1.500000
0.395508 20.0 257 4082 127941 777 3776687057 4339 0.000000 0.000000 1.500000
0.604248 20.0 389 3275 127901 1322 3776687084 3664 0.000000 0.000000 1.500000
0.791016 20.0 546 2621 128313 1751 3776687111 3167 0.000000 0.000000 1.500000
0.988769 20.0 708 2041 127544 1826 3776687137 2749 0.000000 0.000000 1.500000
1.197510 20.0 766 2401 128425 1740 3776687164 3167 0.000000 0.000000 1.500000
1.384277 20.0 620 3085 128357 1303 3776687191 3705 0.000000 0.000000 1.500000
1.614990 20.0 391 3787 128280 854 3776687218 4178 0.000000 0.000000 1.500000
1.790771 20.0 236 4535 127768 351 3776687244 4771 0.000000 0.000000 1.500000
1.988525 20.0 122 4850 128973 204 3776687271 4972 0.000000 0.000000 1.500000
2.208252 20.0 153 4468 127804 518 3776687298 4621 0.000000 0.000000 1.500000
2.395020 20.0 243 3949 128427 872 3776687325 4192 0.000000 0.000000 1.500000
2.603760 20.0 426 3118 127280 1477 3776687351 3544 0.000000 0.000000 1.500000
2.801514 20.0 602 2366 126899 1805 3776687378 2968 0.000000 0.000000 1.500000
2.999268 20.0 670 2189 126367 1942 3776687405 2859 0.000000 0.000000 1.500000
