# ps_pos exposure_time(s) O-Beam H-Beam Monitor AUX-Beam time(s) O+H encod1 encod2
-1.999512 15.0 1543 4612 99332 10 3783077561 1553 0.000000 0.000000
-1.812744 15.0 2126 4037 97797 14 3783077582 2140 0.000000 0.000000
-1.604004 15.0 2693 3500 98746 21 3783077603 2714 0.000000 0.000000
-1.406250 15.0 3031 3087 97653 13 3783077625 3044 0.000000 0.000000
-1.197510 15.0 2766 3222 98292 15 3783077646 2781 0.000000 0.000000
-0.999756 15.0 2254 3700 97827 14 3783077667 2268 0.000000 0.000000
-0.812988 15.0 1724 4353 98153 12 3783077688 1736 0.000000 0.000000
-0.604248 15.0 1010 5009 97716 10 3783077709 1020 0.000000 0.000000
-0.395508 15.0 748 5481 98065 10 3783077731 758 0.000000 0.000000
-0.197754 15.0 889 5334 97715 18 3783077752 907 0.000000 0.000000
0.000000 15.0 1306 4850 98608 19 3783077773 1325 0.000000 0.000000
0.197754 15.0 2012 4188 98525 14 3783077794 2026 0.000000 0.000000
0.395508 15.0 2586 3498 98094 12 3783077815 2598 0.000000 0.000000
0.593262 15.0 3010 3118 98140 11 3783077836 3021 0.000000 0.000000
0.802002 15.0 3014 3132 98379 18 3783077858 3032 0.000000 0.000000
0.999756 15.0 2470 3621 99932 14 3783077879 2484 0.000000 0.000000
1.186523 15.0 1893 4344 99545 14 3783077900 1907 0.000000 0.000000
1.395264 15.0 1223 4920 99766 19 3783077921 1242 0.000000 0.000000
1.604004 15.0 868 5285 100035 8 3783077942 876 0.000000 0.000000
1.801758 15.0 823 5348 99433 22 3783077964 845 0.000000 0.000000
1.999512 15.0 1077 4968 99342 11 3783077985 1088 0.000000 0.000000
