# ps_pos exposure_time(s) O-Beam H-Beam Monitor AUX-Beam time(s) O+H encod1 encod2
-2.010498 15.0 1359 4736 98582 15 3783077107 1374 0.000000 0.000000
-1.801758 15.0 2237 4008 97729 20 3783077128 2257 0.000000 0.000000
-1.604004 15.0 2677 3296 97503 10 3783077149 2687 0.000000 0.000000
-1.406250 15.0 2956 3107 97754 11 3783077170 2967 0.000000 0.000000
-1.197510 15.0 2767 3198 99132 15 3783077192 2782 0.000000 0.000000
-1.010742 15.0 2296 3857 99250 21 3783077213 2317 0.000000 0.000000
-0.812988 15.0 1743 4394 98750 18 3783077234 1761 0.000000 0.000000
-0.604248 15.0 1031 5207 99719 14 3783077255 1045 0.000000 0.000000
-0.406494 15.0 676 5614 98707 11 3783077276 687 0.000000 0.000000
-0.208740 15.0 839 5213 99266 13 3783077298 852 0.000000 0.000000
0.010986 15.0 1388 4882 98870 7 3783077319 1395 0.000000 0.000000
0.197754 15.0 2037 3981 99121 11 3783077340 2048 0.000000 0.000000
0.395508 15.0 2529 3377 99234 13 3783077361 2542 0.000000 0.000000
0.593262 15.0 2934 3018 99461 15 3783077382 2949 0.000000 0.000000
0.791016 15.0 2970 3146 99801 12 3783077403 2982 0.000000 0.000000
0.999756 15.0 2519 3583 99419 14 3783077424 2533 0.000000 0.000000
1.197510 15.0 1886 4216 99142 13 3783077446 1899 0.000000 0.000000
1.384277 15.0 1245 4917 99184 9 3783077467 1254 0.000000 0.000000
1.604004 15.0 963 5275 98727 17 3783077488 980 0.000000 0.000000
1.801758 15.0 795 5344 99100 12 3783077509 807 0.000000 0.000000
1.999512 15.0 1207 4857 98967 16 3783077531 1223 0.000000 0.000000
