# Coil_pos O-Beam err ps_pos
0.0000000 1137.3647879 33.7248393 108.9750980
5.0000000 1652.8800665 40.6556277 108.9750980
10.0000000 1892.3979634 43.5017007 108.9750980
15.0000000 1877.4934205 43.3300522 108.9750980
20.0000000 1494.9546896 38.6646439 108.9750980
25.0000000 882.4570910 29.7061793 108.9750980
30.0000000 298.4197959 17.2748313 108.9750980
35.0000000 94.4159459 9.7167868 108.9750980
40.0000000 198.3468071 14.0835651 108.9750980
45.0000000 660.2744371 25.6958058 108.9750980
50.0000000 1302.4653996 36.0896855 108.9750980
55.0000000 1848.7996743 42.9976706 108.9750980
60.0000000 1959.6506047 44.2679410 108.9750980
65.0000000 1815.9051332 42.6134384 108.9750980
70.0000000 1219.5632711 34.9222461 108.9750980
75.0000000 632.0131758 25.1398722 108.9750980
80.0000000 220.5235054 14.8500339 108.9750980
85.0000000 107.3019527 10.3586656 108.9750980
90.0000000 444.4761706 21.0826035 108.9750980
95.0000000 999.1437799 31.6092357 108.9750980
