# ps_pos exposure_time(s) O-Beam H-Beam Monitor AUX-Beam time(s) O+H encod1 encod2
-1.999512 30.0 630 9780 186354 1700 3782825811 10410 0.000000 0.000000
-1.801758 30.0 968 8471 186366 2535 3782825847 9439 0.000000 0.000000
-1.614990 30.0 1299 7047 187087 3542 3782825883 8346 0.000000 0.000000
-1.406250 30.0 1464 6272 189811 4046 3782825919 7736 0.000000 0.000000
-1.197510 30.0 1415 6326 189084 3816 3782825956 7741 0.000000 0.000000
-1.010742 30.0 1322 6948 189481 3369 3782825992 8270 0.000000 0.000000
-0.802002 30.0 945 8434 188986 2594 3782826028 9379 0.000000 0.000000
-0.604248 30.0 647 10021 189088 1519 3782826064 10668 0.000000 0.000000
-0.395508 30.0 452 10823 189344 977 3782826101 11275 0.000000 0.000000
-0.197754 30.0 437 11039 189132 1049 3782826137 11476 0.000000 0.000000
0.000000 30.0 639 9836 188896 1446 3782826173 10475 0.000000 0.000000
0.197754 30.0 881 8940 189131 2290 3782826209 9821 0.000000 0.000000
0.384522 30.0 1131 7712 189759 3030 3782826246 8843 0.000000 0.000000
0.604248 30.0 1358 6652 188259 3785 3782826282 8010 0.000000 0.000000
0.802002 30.0 1426 6499 187392 3842 3782826318 7925 0.000000 0.000000
0.999756 30.0 1413 6771 187883 3655 3782826355 8184 0.000000 0.000000
1.197510 30.0 1115 8084 187443 2793 3782826391 9199 0.000000 0.000000
1.384277 30.0 810 9467 187111 1875 3782826427 10277 0.000000 0.000000
1.614990 30.0 535 10419 187441 1219 3782826464 10954 0.000000 0.000000
1.801758 30.0 430 11000 187666 985 3782826500 11430 0.000000 0.000000
1.999512 30.0 504 10264 187102 1235 3782826536 10768 0.000000 0.000000
