# current(Amp) exposure_time(s) O-Beam H-Beam Monitor AUX-Beam time(s) O+H+AUX encod1 encod2
-2.000000 20.0 804 2750 125420 2166 3776484205 5720 0.000000 0.000000
-1.900000 20.0 758 2782 126418 2258 3776484158 5798 0.000000 0.000000
-1.800000 20.0 800 2827 126047 2268 3776484112 5895 0.000000 0.000000
-1.700000 20.0 762 3012 125312 2151 3776484066 5925 0.000000 0.000000
-1.600000 20.0 573 3275 125522 1930 3776484019 5778 0.000000 0.000000
-1.500000 20.0 547 3711 130037 1620 3776483973 5878 0.000000 0.000000
-1.400000 20.0 448 4057 129475 1467 3776483926 5972 0.000000 0.000000
-1.300000 20.0 354 4617 129811 1009 3776483880 5980 0.000000 0.000000
-1.200000 20.0 315 4641 131175 937 3776483833 5893 0.000000 0.000000
-1.100000 20.0 307 4974 128101 803 3776483786 6084 0.000000 0.000000
-1.000000 20.0 282 5216 129316 634 3776483740 6132 0.000000 0.000000
-0.900000 20.0 263 5353 128760 553 3776483693 6169 0.000000 0.000000
-0.800000 20.0 263 5360 128982 408 3776483647 6031 0.000000 0.000000
-0.700000 20.0 255 5403 127302 405 3776483600 6063 0.000000 0.000000
-0.600000 20.0 302 5235 126511 494 3776483554 6031 0.000000 0.000000
-0.500000 20.0 328 5227 126205 577 3776483508 6132 0.000000 0.000000
-0.400000 20.0 421 4820 126450 783 3776483461 6024 0.000000 0.000000
-0.300000 20.0 413 4972 125809 802 3776483415 6187 0.000000 0.000000
-0.200000 20.0 521 4440 129741 1019 3776483368 5980 0.000000 0.000000
-0.100000 20.0 584 4125 129258 1368 3776483321 6077 0.000000 0.000000
0.000000 20.0 631 4129 129880 1413 3776483298 6173 0.000000 0.000000
0.100000 20.0 661 3637 129444 1589 3776483345 5887 0.000000 0.000000
0.200000 20.0 622 3839 129270 1563 3776483391 6024 0.000000 0.000000
0.300000 20.0 676 3522 127325 1756 3776483438 5954 0.000000 0.000000
0.400000 20.0 725 3164 126047 1967 3776483484 5856 0.000000 0.000000
0.500000 20.0 678 3268 126561 1803 3776483531 5749 0.000000 0.000000
0.600000 20.0 686 3171 126068 1898 3776483577 5755 0.000000 0.000000
0.700000 20.0 664 3234 129100 1944 3776483624 5842 0.000000 0.000000
0.800000 20.0 752 3129 128785 2080 3776483670 5961 0.000000 0.000000
0.900000 20.0 715 3001 129039 2130 3776483717 5846 0.000000 0.000000
1.000000 20.0 690 3006 127955 2149 3776483763 5845 0.000000 0.000000
1.100000 20.0 718 2891 129754 2216 3776483810 5825 0.000000 0.000000
1.200000 20.0 736 2840 130036 2152 3776483856 5728 0.000000 0.000000
1.300000 20.0 702 2901 128676 2274 3776483903 5877 0.000000 0.000000
1.400000 20.0 685 2778 130247 2229 3776483949 5692 0.000000 0.000000
1.500000 20.0 684 2765 128422 2339 3776483996 5788 0.000000 0.000000
1.600000 20.0 731 2866 125826 2387 3776484042 5984 0.000000 0.000000
1.700000 20.0 728 2800 125113 2330 3776484089 5858 0.000000 0.000000
1.800000 20.0 706 2844 124973 2196 3776484135 5746 0.000000 0.000000
1.900000 20.0 699 3010 125689 2169 3776484182 5878 0.000000 0.000000
2.000000 20.0 784 2837 125265 2182 3776484228 5803 0.000000 0.000000
