*Begin rocking: 29/06/2025 15:19:05
*Points: 0
*
*notes: 
*Rho-Axis: -2.950
N	encoder[°]	time[s]	O-Detector	H-Detector	Monitor	Aux
         0	-1.0600100	2	20	8	2279	26	28
         1	-1.0599500	2	27	15	2307	29	42
         2	-1.0599100	2	21	16	2193	44	37
         3	-1.0598500	2	32	10	2283	43	42
         4	-1.0598100	2	46	26	2312	46	72
         5	-1.0597600	2	86	50	2221	115	136
         6	-1.0597000	2	76	62	2218	155	138
         7	-1.0596600	2	72	46	2396	118	118
         8	-1.0596100	2	97	39	2240	97	136
         9	-1.0595600	2	144	45	2343	101	189
        10	-1.0595100	2	155	74	2260	145	229
        11	-1.0594600	2	236	96	2197	176	332
        12	-1.0594100	2	312	161	2306	330	473
        13	-1.0593400	2	426	247	2289	527	673
        14	-1.0593200	2	509	365	2260	846	874
        15	-1.0592600	2	549	530	2273	1220	1079
        16	-1.0592000	2	620	647	2217	1849	1267
        17	-1.0591600	2	672	652	2349	2088	1324
        18	-1.0591100	2	750	667	2266	2315	1417
        19	-1.0590600	2	725	669	2221	2259	1394
        20	-1.0589900	2	675	599	2177	2224	1274
        21	-1.0589600	2	609	464	2301	2021	1073
        22	-1.0589000	2	500	357	2299	1516	857
        23	-1.0588500	2	480	285	2321	1119	765
        24	-1.0587900	2	410	192	2291	641	602
        25	-1.0587400	2	274	121	2357	464	395
        26	-1.0586900	2	223	94	2287	255	317
        27	-1.0586500	2	174	68	2246	191	242
        28	-1.0586200	2	154	46	2221	168	200
        29	-1.0585600	2	104	39	2355	136	143
        30	-1.0585000	2	88	28	2364	89	116
        31	-1.0584600	2	50	19	2303	79	69
        32	-1.0584000	2	49	22	2248	47	71
        33	-1.0583600	2	31	9	2360	54	40
        34	-1.0582900	2	30	10	2313	52	40
        35	-1.0582500	2	21	13	2339	40	34
        36	-1.0582000	2	27	11	2399	21	38
        37	-1.0581600	2	21	10	2153	27	31
        38	-1.0581000	2	17	11	2344	21	28
        39	-1.0580500	2	17	8	2326	26	25
        40	-1.0579900	2	10	5	2217	25	15
*stopped by user: 29/06/2025 15:21:57
