*Begin rocking: 11/10/2025 19:08:55
*Points: 0
*
*notes: 
*Rho-Axis: -1.120
N	encoder[°]	time[s]	O-Detector	H-Detector	Monitor	Aux
         0	0.3471500	2	20	90	6216	88	110
         1	0.3472000	2	24	96	6273	112	120
         2	0.3472400	2	69	108	6152	132	177
         3	0.3473000	2	90	142	6205	141	232
         4	0.3473500	2	126	143	6102	153	269
         5	0.3474000	2	178	166	6248	161	344
         6	0.3474500	2	239	188	6301	235	427
         7	0.3475000	2	247	187	6274	300	434
         8	0.3475500	2	291	192	6193	357	483
         9	0.3476000	2	322	172	6180	331	494
        10	0.3476500	2	324	181	6191	322	505
        11	0.3477000	2	353	135	6312	325	488
        12	0.3477500	2	353	128	6120	271	481
        13	0.3478000	2	307	119	6154	200	426
        14	0.3478500	2	234	76	6230	131	310
        15	0.3478900	2	173	83	6270	128	256
        16	0.3479500	2	123	97	6092	112	220
        17	0.3480000	2	71	67	6193	102	138
        18	0.3480500	2	45	76	6246	95	121
        19	0.3481000	2	33	52	6346	82	85
        20	0.3481600	2	22	52	6192	58	74
        21	0.3482100	2	10	49	6326	57	59
        22	0.3482500	2	6	53	6197	52	59
        23	0.3483100	2	7	29	6246	39	36
        24	0.3483500	2	3	37	6315	48	40
        25	0.3484000	2	6	28	6210	41	34
        26	0.3484500	2	6	28	6178	30	34
        27	0.3485000	2	0	27	6260	30	27
        28	0.3485400	2	4	13	6200	30	17
        29	0.3486000	2	1	17	6286	23	18
        30	0.3486500	2	0	18	6149	24	18
        31	0.3487000	2	1	22	6111	22	23
        32	0.3487600	2	1	9	6219	13	10
        33	0.3488000	2	2	11	6286	17	13
        34	0.3488600	2	0	11	6145	18	11
        35	0.3489000	2	2	16	6353	19	18
*stopped by user: 11/10/2025 19:11:26
